burst,correction_type,target,random_seed,model,actual_label,predicted_label,count
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Eating,Eating,58
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Eating,Grooming actor,2
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Eating,Resting,4
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Eating,Running,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Eating,Walking,3
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming actor,Eating,6
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming actor,Grooming actor,8
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming actor,Resting,5
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming actor,Walking,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming receiver,Eating,1
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming receiver,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming receiver,Grooming receiver,4
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming receiver,Resting,9
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Resting,Eating,10
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Resting,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Resting,Grooming receiver,2
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Resting,Resting,65
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Resting,Running,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Resting,Sleeping,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Resting,Walking,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Running,Eating,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Running,Resting,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Running,Running,1
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Running,Walking,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Self-scratching,Eating,1
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Self-scratching,Resting,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Self-scratching,Running,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Self-scratching,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Self-scratching,Sleeping,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Self-scratching,Walking,1
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Sleeping,Eating,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Sleeping,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Sleeping,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Sleeping,Resting,2
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Sleeping,Running,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Sleeping,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Sleeping,Sleeping,3
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Sleeping,Walking,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Walking,Eating,6
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Walking,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Walking,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Walking,Resting,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Walking,Running,2
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Walking,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Walking,Sleeping,0
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,Walking,Walking,16
Burst_1,rotbasal,Behaviour,42,LSTM,Eating,Eating,0
Burst_1,rotbasal,Behaviour,42,LSTM,Eating,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,LSTM,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,LSTM,Eating,Resting,67
Burst_1,rotbasal,Behaviour,42,LSTM,Eating,Running,0
Burst_1,rotbasal,Behaviour,42,LSTM,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,LSTM,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,42,LSTM,Eating,Walking,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming actor,Eating,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming actor,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming actor,Resting,19
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming actor,Walking,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming receiver,Eating,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming receiver,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming receiver,Grooming receiver,1
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming receiver,Resting,13
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,42,LSTM,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,42,LSTM,Resting,Eating,0
Burst_1,rotbasal,Behaviour,42,LSTM,Resting,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,LSTM,Resting,Grooming receiver,1
Burst_1,rotbasal,Behaviour,42,LSTM,Resting,Resting,77
Burst_1,rotbasal,Behaviour,42,LSTM,Resting,Running,0
Burst_1,rotbasal,Behaviour,42,LSTM,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,LSTM,Resting,Sleeping,0
Burst_1,rotbasal,Behaviour,42,LSTM,Resting,Walking,0
Burst_1,rotbasal,Behaviour,42,LSTM,Running,Eating,0
Burst_1,rotbasal,Behaviour,42,LSTM,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,LSTM,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,LSTM,Running,Resting,1
Burst_1,rotbasal,Behaviour,42,LSTM,Running,Running,0
Burst_1,rotbasal,Behaviour,42,LSTM,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,LSTM,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,42,LSTM,Running,Walking,0
Burst_1,rotbasal,Behaviour,42,LSTM,Self-scratching,Eating,0
Burst_1,rotbasal,Behaviour,42,LSTM,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,LSTM,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,LSTM,Self-scratching,Resting,2
Burst_1,rotbasal,Behaviour,42,LSTM,Self-scratching,Running,0
Burst_1,rotbasal,Behaviour,42,LSTM,Self-scratching,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,LSTM,Self-scratching,Sleeping,0
Burst_1,rotbasal,Behaviour,42,LSTM,Self-scratching,Walking,0
Burst_1,rotbasal,Behaviour,42,LSTM,Sleeping,Eating,0
Burst_1,rotbasal,Behaviour,42,LSTM,Sleeping,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,LSTM,Sleeping,Grooming receiver,1
Burst_1,rotbasal,Behaviour,42,LSTM,Sleeping,Resting,4
Burst_1,rotbasal,Behaviour,42,LSTM,Sleeping,Running,0
Burst_1,rotbasal,Behaviour,42,LSTM,Sleeping,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,LSTM,Sleeping,Sleeping,0
Burst_1,rotbasal,Behaviour,42,LSTM,Sleeping,Walking,0
Burst_1,rotbasal,Behaviour,42,LSTM,Walking,Eating,0
Burst_1,rotbasal,Behaviour,42,LSTM,Walking,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,LSTM,Walking,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,LSTM,Walking,Resting,24
Burst_1,rotbasal,Behaviour,42,LSTM,Walking,Running,0
Burst_1,rotbasal,Behaviour,42,LSTM,Walking,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,LSTM,Walking,Sleeping,0
Burst_1,rotbasal,Behaviour,42,LSTM,Walking,Walking,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Eating,Eating,45
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Eating,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Eating,Grooming receiver,1
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Eating,Resting,14
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Eating,Running,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Eating,Walking,7
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming actor,Eating,3
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming actor,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming actor,Resting,14
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming actor,Walking,1
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming receiver,Eating,1
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming receiver,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming receiver,Grooming receiver,1
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming receiver,Resting,12
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Resting,Eating,12
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Resting,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Resting,Grooming receiver,2
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Resting,Resting,64
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Resting,Running,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Resting,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Resting,Walking,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Running,Eating,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Running,Resting,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Running,Running,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Running,Walking,1
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Self-scratching,Eating,1
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Self-scratching,Resting,0
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,Self-scratching,Running,0
