burst,correction_type,target,random_seed,model,actual_label,predicted_label,count
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Eating,Eating,68
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Eating,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Eating,Resting,10
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Eating,Running,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Eating,Walking,5
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming actor,Eating,6
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming actor,Grooming actor,2
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming actor,Resting,15
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming actor,Walking,1
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming receiver,Eating,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming receiver,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming receiver,Grooming receiver,6
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming receiver,Resting,12
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Resting,Eating,12
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Resting,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Resting,Grooming receiver,2
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Resting,Resting,82
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Resting,Running,0
