burst,correction_type,target,random_seed,model,roc_auc,accuracy,balanced_acc,f1_score,precision,recall,time
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,0.8861839833610761,0.7034220532319392,0.4351600774394484,0.6696339319375989,0.6902659242604385,0.7034220532319392,2.747134208679199
Burst_1,rotbasal,Behaviour,42,GANDALF,0.8550991122576651,0.6387832699619772,0.39320068291599575,0.6017478655691584,0.5806315174144567,0.6387832699619772,7.46987247467041
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,0.8928673924903764,0.6996197718631179,0.436125283446712,0.6892704070804964,0.6969533120879956,0.6996197718631179,3.6918232440948486
Burst_1,rotbasal,Behaviour,100,GANDALF,0.8836125217274757,0.6692015209125475,0.4246811224489796,0.6639344293408429,0.6719385477440311,0.6692015209125475,9.885292768478394
Burst_1,rotbasal,Behaviour,123,CategoryEmbeddingModel,0.881771124612853,0.6730038022813688,0.42061686784443014,0.6593599134937892,0.6674520531940411,0.6730038022813688,3.4928767681121826
Burst_1,rotbasal,Behaviour,123,GANDALF,0.8776942928010746,0.6501901140684411,0.4938391237762108,0.619102622778174,0.6839545016602722,0.6501901140684411,7.9087207317352295
Burst_1,rotbasal,Behaviour,1234,CategoryEmbeddingModel,0.8791911346708544,0.6692015209125475,0.45781617803229596,0.651211285915663,0.6644248357100326,0.6692015209125475,3.0239877700805664
Burst_1,rotbasal,Behaviour,1234,GANDALF,0.8753122306367016,0.6387832699619772,0.4251157306425615,0.6160799830025607,0.6208701886657138,0.6387832699619772,8.175041913986206
Burst_1,rotbasal,Behaviour,123456,CategoryEmbeddingModel,0.8991256523052087,0.7034220532319392,0.5783020688194956,0.6906667656507882,0.6930448981902434,0.7034220532319392,3.6550674438476562
Burst_1,rotbasal,Behaviour,123456,GANDALF,0.9002297427367996,0.6692015209125475,0.5772741476108516,0.6593222620497325,0.6556085843640088,0.6692015209125475,10.390251398086548
Burst_1,rotdaily,Behaviour,42,CategoryEmbeddingModel,0.8607551254463813,0.6273764258555133,0.34817731260790363,0.5992412160095707,0.6218604589327024,0.6273764258555133,1.7901005744934082
Burst_1,rotdaily,Behaviour,42,GANDALF,0.876896682912644,0.6577946768060836,0.4070092086582009,0.6413707822327187,0.6324003230609695,0.6577946768060836,9.712092399597168
Burst_1,rotdaily,Behaviour,100,CategoryEmbeddingModel,0.8774370110218063,0.6653992395437263,0.35993480725623583,0.632929225686838,0.6392065525369035,0.6653992395437263,3.1504971981048584
Burst_1,rotdaily,Behaviour,100,GANDALF,0.8913377257734859,0.6653992395437263,0.36307397959183674,0.6288604144771439,0.6443268217938408,0.6653992395437263,8.44360065460205
Burst_1,rotdaily,Behaviour,123,CategoryEmbeddingModel,0.8910613952010261,0.688212927756654,0.5391035146731319,0.6600947753610519,0.6549884216244033,0.688212927756654,2.11924147605896
Burst_1,rotdaily,Behaviour,123,GANDALF,0.8749230496160942,0.6730038022813688,0.5227179014499957,0.6638404245326001,0.6791974468071652,0.6730038022813688,9.352091073989868
Burst_1,rotdaily,Behaviour,1234,CategoryEmbeddingModel,0.8768423468648503,0.6806083650190115,0.43070486631626353,0.6641338156310624,0.6704862891398342,0.6806083650190115,2.6272695064544678
Burst_1,rotdaily,Behaviour,1234,GANDALF,0.880781593493026,0.6768060836501901,0.4360361403921589,0.6486404421076236,0.6601598818206201,0.6768060836501901,9.51017141342163
Burst_1,rotdaily,Behaviour,123456,CategoryEmbeddingModel,0.8839019598444298,0.688212927756654,0.43130745772204465,0.6628345161348231,0.6670024836105616,0.688212927756654,3.3894760608673096
Burst_1,rotdaily,Behaviour,123456,GANDALF,0.8907748960864553,0.6806083650190115,0.4849034744419856,0.6755892720730411,0.6819847094672455,0.6806083650190115,9.866178274154663
Burst_1,uncorrected,Behaviour,42,CategoryEmbeddingModel,0.8878226544734997,0.688212927756654,0.44354232818921063,0.6622217658183901,0.6666636079563836,0.688212927756654,2.967101812362671
Burst_1,uncorrected,Behaviour,42,GANDALF,0.8735864729985919,0.6007604562737643,0.40149235299768304,0.6004258842853325,0.6229497484274401,0.6007604562737643,7.937021017074585
Burst_1,uncorrected,Behaviour,100,CategoryEmbeddingModel,0.9217234135256972,0.7224334600760456,0.5473497732426303,0.7085541999969986,0.7096606911122028,0.7224334600760456,3.907870292663574
Burst_1,uncorrected,Behaviour,100,GANDALF,0.9235336170486691,0.7338403041825095,0.45533588435374145,0.7226895675775518,0.7217141540335457,0.7338403041825095,9.982093095779419
Burst_1,uncorrected,Behaviour,123,CategoryEmbeddingModel,0.903638800270523,0.7072243346007605,0.5256172264215959,0.6823831890170518,0.6899062833482514,0.7072243346007605,2.7840867042541504
Burst_1,uncorrected,Behaviour,123,GANDALF,0.9003395274353592,0.6768060836501901,0.457438790712554,0.6755498589368354,0.6799215076143256,0.6768060836501901,8.87341856956482
Burst_1,uncorrected,Behaviour,1234,CategoryEmbeddingModel,0.8988149840431018,0.7110266159695817,0.43795461085068826,0.6920497661607032,0.7007857515629827,0.7110266159695817,2.540804624557495
Burst_1,uncorrected,Behaviour,1234,GANDALF,0.9039323699744455,0.6958174904942965,0.437081563581515,0.6810383606336875,0.6880746228330389,0.6958174904942965,8.412179946899414
