burst,correction_type,target,random_seed,model,actual_label,predicted_label,count
Burst_1,rotbasal,Behaviour,42,TabPFN,Eating,Eating,68
Burst_1,rotbasal,Behaviour,42,TabPFN,Eating,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Eating,Resting,10
Burst_1,rotbasal,Behaviour,42,TabPFN,Eating,Running,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Eating,Walking,5
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming actor,Eating,5
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming actor,Grooming actor,10
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming actor,Resting,8
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming actor,Walking,1
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming receiver,Eating,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming receiver,Grooming actor,3
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming receiver,Grooming receiver,7
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming receiver,Resting,8
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Resting,Eating,12
Burst_1,rotbasal,Behaviour,42,TabPFN,Resting,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,TabPFN,Resting,Grooming receiver,3
Burst_1,rotbasal,Behaviour,42,TabPFN,Resting,Resting,80
Burst_1,rotbasal,Behaviour,42,TabPFN,Resting,Running,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Resting,Sleeping,2
Burst_1,rotbasal,Behaviour,42,TabPFN,Resting,Walking,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Running,Eating,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Running,Resting,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Running,Running,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Running,Walking,1
Burst_1,rotbasal,Behaviour,42,TabPFN,Self-scratching,Eating,2
Burst_1,rotbasal,Behaviour,42,TabPFN,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Self-scratching,Resting,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Self-scratching,Running,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Self-scratching,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Self-scratching,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Self-scratching,Walking,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Sleeping,Eating,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Sleeping,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Sleeping,Grooming receiver,1
Burst_1,rotbasal,Behaviour,42,TabPFN,Sleeping,Resting,1
Burst_1,rotbasal,Behaviour,42,TabPFN,Sleeping,Running,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Sleeping,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Sleeping,Sleeping,4
Burst_1,rotbasal,Behaviour,42,TabPFN,Sleeping,Walking,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Walking,Eating,5
Burst_1,rotbasal,Behaviour,42,TabPFN,Walking,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Walking,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Walking,Resting,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Walking,Running,2
Burst_1,rotbasal,Behaviour,42,TabPFN,Walking,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Walking,Sleeping,0
Burst_1,rotbasal,Behaviour,42,TabPFN,Walking,Walking,24
Burst_1,rotbasal,Behaviour,100,TabPFN,Eating,Eating,66
Burst_1,rotbasal,Behaviour,100,TabPFN,Eating,Grooming actor,4
Burst_1,rotbasal,Behaviour,100,TabPFN,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Eating,Resting,11
Burst_1,rotbasal,Behaviour,100,TabPFN,Eating,Running,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Eating,Walking,3
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming actor,Eating,6
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming actor,Grooming actor,13
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming actor,Resting,5
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming actor,Walking,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming receiver,Eating,1
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming receiver,Grooming actor,1
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming receiver,Grooming receiver,7
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming receiver,Resting,8
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming receiver,Sleeping,1
Burst_1,rotbasal,Behaviour,100,TabPFN,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Resting,Eating,13
Burst_1,rotbasal,Behaviour,100,TabPFN,Resting,Grooming actor,3
Burst_1,rotbasal,Behaviour,100,TabPFN,Resting,Grooming receiver,2
Burst_1,rotbasal,Behaviour,100,TabPFN,Resting,Resting,80
Burst_1,rotbasal,Behaviour,100,TabPFN,Resting,Running,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Resting,Sleeping,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Resting,Walking,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Running,Eating,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Running,Resting,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Running,Running,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Running,Walking,1
Burst_1,rotbasal,Behaviour,100,TabPFN,Self-scratching,Eating,1
Burst_1,rotbasal,Behaviour,100,TabPFN,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Self-scratching,Resting,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Self-scratching,Running,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Self-scratching,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Self-scratching,Sleeping,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Self-scratching,Walking,1
Burst_1,rotbasal,Behaviour,100,TabPFN,Sleeping,Eating,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Sleeping,Grooming actor,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Sleeping,Grooming receiver,1
Burst_1,rotbasal,Behaviour,100,TabPFN,Sleeping,Resting,3
Burst_1,rotbasal,Behaviour,100,TabPFN,Sleeping,Running,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Sleeping,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Sleeping,Sleeping,2
Burst_1,rotbasal,Behaviour,100,TabPFN,Sleeping,Walking,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Walking,Eating,7
Burst_1,rotbasal,Behaviour,100,TabPFN,Walking,Grooming actor,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Walking,Grooming receiver,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Walking,Resting,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Walking,Running,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Walking,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Walking,Sleeping,0
Burst_1,rotbasal,Behaviour,100,TabPFN,Walking,Walking,23
Burst_1,rotbasal,Behaviour,123,TabPFN,Eating,Eating,64
Burst_1,rotbasal,Behaviour,123,TabPFN,Eating,Grooming actor,2
Burst_1,rotbasal,Behaviour,123,TabPFN,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Eating,Resting,13
Burst_1,rotbasal,Behaviour,123,TabPFN,Eating,Running,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Eating,Walking,4
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming actor,Eating,5
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming actor,Grooming actor,10
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming actor,Grooming receiver,1
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming actor,Resting,8
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming actor,Walking,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming receiver,Eating,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming receiver,Grooming actor,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming receiver,Grooming receiver,8
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming receiver,Resting,10
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,123,TabPFN,Resting,Eating,8
Burst_1,rotbasal,Behaviour,123,TabPFN,Resting,Grooming actor,1
Burst_1,rotbasal,Behaviour,123,TabPFN,Resting,Grooming receiver,3
