burst,correction_type,target,random_seed,model,actual_label,predicted_label,count
Burst_1,rotbasal,Behaviour,42,RF,Eating,Eating,66
Burst_1,rotbasal,Behaviour,42,RF,Eating,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,RF,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,RF,Eating,Resting,10
Burst_1,rotbasal,Behaviour,42,RF,Eating,Running,0
Burst_1,rotbasal,Behaviour,42,RF,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,RF,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,42,RF,Eating,Walking,6
Burst_1,rotbasal,Behaviour,42,RF,Grooming actor,Eating,9
Burst_1,rotbasal,Behaviour,42,RF,Grooming actor,Grooming actor,2
Burst_1,rotbasal,Behaviour,42,RF,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,RF,Grooming actor,Resting,12
Burst_1,rotbasal,Behaviour,42,RF,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,42,RF,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,RF,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,42,RF,Grooming actor,Walking,1
Burst_1,rotbasal,Behaviour,42,RF,Grooming receiver,Eating,1
Burst_1,rotbasal,Behaviour,42,RF,Grooming receiver,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,RF,Grooming receiver,Grooming receiver,7
Burst_1,rotbasal,Behaviour,42,RF,Grooming receiver,Resting,9
Burst_1,rotbasal,Behaviour,42,RF,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,42,RF,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,RF,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,42,RF,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,42,RF,Resting,Eating,13
Burst_1,rotbasal,Behaviour,42,RF,Resting,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,RF,Resting,Grooming receiver,5
Burst_1,rotbasal,Behaviour,42,RF,Resting,Resting,80
Burst_1,rotbasal,Behaviour,42,RF,Resting,Running,0
Burst_1,rotbasal,Behaviour,42,RF,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,RF,Resting,Sleeping,0
Burst_1,rotbasal,Behaviour,42,RF,Resting,Walking,0
Burst_1,rotbasal,Behaviour,42,RF,Running,Eating,0
Burst_1,rotbasal,Behaviour,42,RF,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,RF,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,RF,Running,Resting,0
Burst_1,rotbasal,Behaviour,42,RF,Running,Running,0
Burst_1,rotbasal,Behaviour,42,RF,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,RF,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,42,RF,Running,Walking,1
Burst_1,rotbasal,Behaviour,42,RF,Self-scratching,Eating,2
Burst_1,rotbasal,Behaviour,42,RF,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,RF,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,RF,Self-scratching,Resting,0
Burst_1,rotbasal,Behaviour,42,RF,Self-scratching,Running,0
Burst_1,rotbasal,Behaviour,42,RF,Self-scratching,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,RF,Self-scratching,Sleeping,0
Burst_1,rotbasal,Behaviour,42,RF,Self-scratching,Walking,0
Burst_1,rotbasal,Behaviour,42,RF,Sleeping,Eating,0
Burst_1,rotbasal,Behaviour,42,RF,Sleeping,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,RF,Sleeping,Grooming receiver,2
Burst_1,rotbasal,Behaviour,42,RF,Sleeping,Resting,2
Burst_1,rotbasal,Behaviour,42,RF,Sleeping,Running,0
Burst_1,rotbasal,Behaviour,42,RF,Sleeping,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,RF,Sleeping,Sleeping,2
Burst_1,rotbasal,Behaviour,42,RF,Sleeping,Walking,0
Burst_1,rotbasal,Behaviour,42,RF,Walking,Eating,7
Burst_1,rotbasal,Behaviour,42,RF,Walking,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,RF,Walking,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,RF,Walking,Resting,0
Burst_1,rotbasal,Behaviour,42,RF,Walking,Running,2
Burst_1,rotbasal,Behaviour,42,RF,Walking,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,RF,Walking,Sleeping,0
Burst_1,rotbasal,Behaviour,42,RF,Walking,Walking,22
Burst_1,rotbasal,Behaviour,42,XGB,Eating,Eating,59
Burst_1,rotbasal,Behaviour,42,XGB,Eating,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,XGB,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,XGB,Eating,Resting,15
Burst_1,rotbasal,Behaviour,42,XGB,Eating,Running,0
Burst_1,rotbasal,Behaviour,42,XGB,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,XGB,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,42,XGB,Eating,Walking,8
Burst_1,rotbasal,Behaviour,42,XGB,Grooming actor,Eating,7
Burst_1,rotbasal,Behaviour,42,XGB,Grooming actor,Grooming actor,8
Burst_1,rotbasal,Behaviour,42,XGB,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,XGB,Grooming actor,Resting,8
Burst_1,rotbasal,Behaviour,42,XGB,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,42,XGB,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,XGB,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,42,XGB,Grooming actor,Walking,1
Burst_1,rotbasal,Behaviour,42,XGB,Grooming receiver,Eating,2
Burst_1,rotbasal,Behaviour,42,XGB,Grooming receiver,Grooming actor,2
Burst_1,rotbasal,Behaviour,42,XGB,Grooming receiver,Grooming receiver,4
Burst_1,rotbasal,Behaviour,42,XGB,Grooming receiver,Resting,9
Burst_1,rotbasal,Behaviour,42,XGB,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,42,XGB,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,XGB,Grooming receiver,Sleeping,1
Burst_1,rotbasal,Behaviour,42,XGB,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,42,XGB,Resting,Eating,10
Burst_1,rotbasal,Behaviour,42,XGB,Resting,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,XGB,Resting,Grooming receiver,5
Burst_1,rotbasal,Behaviour,42,XGB,Resting,Resting,81
Burst_1,rotbasal,Behaviour,42,XGB,Resting,Running,0
Burst_1,rotbasal,Behaviour,42,XGB,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,XGB,Resting,Sleeping,1
Burst_1,rotbasal,Behaviour,42,XGB,Resting,Walking,0
Burst_1,rotbasal,Behaviour,42,XGB,Running,Eating,0
Burst_1,rotbasal,Behaviour,42,XGB,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,XGB,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,XGB,Running,Resting,0
Burst_1,rotbasal,Behaviour,42,XGB,Running,Running,0
Burst_1,rotbasal,Behaviour,42,XGB,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,XGB,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,42,XGB,Running,Walking,1
Burst_1,rotbasal,Behaviour,42,XGB,Self-scratching,Eating,1
Burst_1,rotbasal,Behaviour,42,XGB,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,XGB,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,XGB,Self-scratching,Resting,0
Burst_1,rotbasal,Behaviour,42,XGB,Self-scratching,Running,0
Burst_1,rotbasal,Behaviour,42,XGB,Self-scratching,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,XGB,Self-scratching,Sleeping,0
Burst_1,rotbasal,Behaviour,42,XGB,Self-scratching,Walking,1
Burst_1,rotbasal,Behaviour,42,XGB,Sleeping,Eating,0
Burst_1,rotbasal,Behaviour,42,XGB,Sleeping,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,XGB,Sleeping,Grooming receiver,2
Burst_1,rotbasal,Behaviour,42,XGB,Sleeping,Resting,2
Burst_1,rotbasal,Behaviour,42,XGB,Sleeping,Running,0
Burst_1,rotbasal,Behaviour,42,XGB,Sleeping,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,XGB,Sleeping,Sleeping,2
Burst_1,rotbasal,Behaviour,42,XGB,Sleeping,Walking,0
Burst_1,rotbasal,Behaviour,42,XGB,Walking,Eating,6
Burst_1,rotbasal,Behaviour,42,XGB,Walking,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,XGB,Walking,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,XGB,Walking,Resting,0
Burst_1,rotbasal,Behaviour,42,XGB,Walking,Running,2
Burst_1,rotbasal,Behaviour,42,XGB,Walking,Self-scratching,0
