"contrast_level","comparison","model","burst","correction_type","beh_rarity","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"across_behavioural_rarity","burst","RF",NA,"uncorrected",NA,"precision","uncommon","common",0.0585699815336899,0.0207258727610294,0.0179480173739126,0.0991919456934671,2.82593559311135,0.00471427419916467
"across_behavioural_rarity","burst","RF",NA,"uncorrected",NA,"recall","uncommon","common",-0.274727008231452,0.0272796946303719,-0.328194227216232,-0.221259789246672,-10.0707508626429,7.4407834642462e-24
"across_behavioural_rarity","correction","RF","Burst_4",NA,NA,"precision","uncommon","common",0.0828526495734806,0.0504714620070335,-0.0160695982073866,0.181774897354348,1.64157419418393,0.100678279320995
"across_behavioural_rarity","correction","RF","Burst_4",NA,NA,"precision","rare","common",0.105357119863952,0.049461286500144,0.00841477969465217,0.202299460033251,2.13009258996215,0.0331639699806278
"across_behavioural_rarity","correction","RF","Burst_4",NA,NA,"precision","rare","uncommon",0.022504470290471,0.0405442395726387,-0.0569607790524645,0.101969719633406,0.555059621975452,0.578853879953048
"across_behavioural_rarity","correction","RF","Burst_4",NA,NA,"recall","uncommon","common",-0.267323033755794,0.0447253448309939,-0.354983098820677,-0.179662968690911,-5.97699212305555,2.27295184613218e-09
"across_behavioural_rarity","correction","RF","Burst_4",NA,NA,"recall","rare","common",-0.413359570066383,0.0436335889119758,-0.498879832850082,-0.327839307282684,-9.47342587152924,2.70812932199273e-21
"across_behavioural_rarity","correction","RF","Burst_4",NA,NA,"recall","rare","uncommon",-0.146036536310589,0.0433398812348371,-0.230981142625113,-0.0610919299960654,-3.36956475536448,0.000752869990210816
"across_behavioural_rarity","model",NA,"Burst_4","uncorrected",NA,"precision","uncommon","common",-0.014043770950952,0.0299392573889264,-0.0727236371571224,0.0446360952552184,-0.469075460640729,0.639015698751257
"across_behavioural_rarity","model",NA,"Burst_4","uncorrected",NA,"precision","rare","common",-0.0668757521518907,0.0287372872664723,-0.123199800207558,-0.0105517040962236,-2.32714213877503,0.0199577013815399
"across_behavioural_rarity","model",NA,"Burst_4","uncorrected",NA,"precision","rare","uncommon",-0.0528319812009387,0.0245349479443297,-0.10091959553439,-0.00474436686748745,-2.15333577722747,0.0312922989472492
"across_behavioural_rarity","model",NA,"Burst_4","uncorrected",NA,"recall","uncommon","common",-0.288015742136683,0.0255607740860806,-0.338113938762366,-0.237917545511001,-11.2678802749376,1.89066831446765e-29
"across_behavioural_rarity","model",NA,"Burst_4","uncorrected",NA,"recall","rare","common",-0.372018162281316,0.0248862010853295,-0.420794220120583,-0.323242104442048,-14.9487726554063,1.58646168323182e-50
"across_behavioural_rarity","model",NA,"Burst_4","uncorrected",NA,"recall","rare","uncommon",-0.0840024201446325,0.0238029393486416,-0.130655323994161,-0.0373495162951036,-3.52907760315855,0.000417010825924658
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"precision","Burst_2","Burst_1",-0.0445889864058511,0.0288105108282528,-0.101056550005428,0.0118785771937257,-1.54766386030633,0.12170324747959
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"precision","Burst_3","Burst_1",-0.00741707301330963,0.0282287844734821,-0.062744473908678,0.0479103278820588,-0.262748579212724,0.792744371068162
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"precision","Burst_4","Burst_1",0.00162493082948001,0.0278809221486997,-0.0530206724377365,0.0562705340966965,0.0582811006326701,0.953524721433429
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"precision","Burst_3","Burst_2",0.0371719133925414,0.0289602168951325,-0.0195890687063866,0.0939328954914695,1.28355093220276,0.199299127743352
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"precision","Burst_4","Burst_2",0.0462139172353311,0.0287273732801009,-0.010090699764105,0.102518534234767,1.60870667793852,0.107680494910983
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"precision","Burst_4","Burst_3",0.00904200384278964,0.0279822728573847,-0.0458022431632571,0.0638862508488364,0.32313328830983,0.746594300967463
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"recall","Burst_2","Burst_1",0.0119201252262208,0.0381104394023658,-0.0627749634374124,0.0866152138898539,0.312778477843548,0.754448967757699
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"recall","Burst_3","Burst_1",0.0280083214300673,0.0376333559982178,-0.0457517009438141,0.101768343803949,0.744241928128696,0.456730126521383
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"recall","Burst_4","Burst_1",0.014219283961651,0.0379463395967299,-0.0601541749930658,0.0885927429163677,0.374720832437718,0.707868097280022
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"recall","Burst_3","Burst_2",0.0160881962038465,0.0377332837206199,-0.0578676809070001,0.0900440733146931,0.426366184373582,0.669841037932267
