"comparison","model","burst","correction_type","beh_rarity","metric","Proportion","SE","CI_low","CI_high","z"
"burst","RF","Burst_1","uncorrected","common","precision",0.71796450595441,0.0294681901574803,0.660207914556171,0.775721097352649,24.3640516135382
"burst","RF","Burst_1","uncorrected","uncommon","precision",0.77482486282537,0.0245266543271779,0.726753503682838,0.822896221967902,31.5911356065711
"burst","RF","Burst_2","uncorrected","common","precision",0.670376080673722,0.0315390696016718,0.608560640148543,0.732191521198901,21.2554171426219
"burst","RF","Burst_2","uncorrected","uncommon","precision",0.733235315294355,0.0270551809094863,0.680208135116547,0.786262495472164,27.1014752312103
"burst","RF","Burst_3","uncorrected","common","precision",0.710007017994354,0.0302385768438574,0.650740496436647,0.769273539552061,23.4801730802547
"burst","RF","Burst_3","uncorrected","uncommon","precision",0.767948204758806,0.0250519173728001,0.718847348964445,0.817049060553168,30.6542686266641
"burst","RF","Burst_4","uncorrected","common","precision",0.719710041280013,0.0298505196169741,0.661204097910937,0.778215984649089,24.1104694496092
"burst","RF","Burst_4","uncorrected","uncommon","precision",0.776329189158726,0.0243218844232721,0.728659171652967,0.823999206664485,31.9189572505289
"burst","RF","Burst_1","uncorrected","common","recall",0.785560549522156,0.0268167366444717,0.733000711516096,0.838120387528215,29.2936668595021
"burst","RF","Burst_1","uncorrected","uncommon","recall",0.505197546520815,0.0342373303428598,0.438093612122009,0.572301480919621,14.7557517324412
"burst","RF","Burst_2","uncorrected","common","recall",0.795067104053616,0.0266509784025738,0.742832146231817,0.847302061875416,29.8325671967387
"burst","RF","Burst_2","uncorrected","uncommon","recall",0.519531242441796,0.034474027325016,0.451963390482715,0.587099094400877,15.0702219251535
"burst","RF","Burst_3","uncorrected","common","recall",0.807610479399207,0.0252541762387606,0.758113203512009,0.857107755286405,31.97928420883
"burst","RF","Burst_3","uncorrected","uncommon","recall",0.539164259503898,0.0343036737328907,0.47193029445002,0.606398224557777,15.7173911955367
"burst","RF","Burst_4","uncorrected","common","recall",0.796879806191806,0.026264955860643,0.745401438649411,0.8483581737342,30.3400398013194
"burst","RF","Burst_4","uncorrected","uncommon","recall",0.522316857774467,0.0343824477153467,0.454928498552056,0.589705216996878,15.1913808492852
"correction","RF","Burst_4","uncorrected","common","precision",0.713065729919016,0.0520959268128738,0.610959589624549,0.815171870213483,13.6875524353433
"correction","RF","Burst_4","uncorrected","uncommon","precision",0.785377688040147,0.0403792445912825,0.706235822918299,0.864519553161994,19.4500341942925
"correction","RF","Burst_4","uncorrected","rare","precision",0.804295351458406,0.0347870901036781,0.736113907728247,0.872476795188565,23.120512496484
"correction","RF","Burst_4","rotdaily","common","precision",0.574938155220122,0.0593360301017211,0.458641673235164,0.69123463720508,9.68952850796544
"correction","RF","Burst_4","rotdaily","uncommon","precision",0.66558705752526,0.0493774089814986,0.568809114271618,0.762365000778902,13.4795865407732
"correction","RF","Burst_4","rotdaily","rare","precision",0.690855552141542,0.0481276470543519,0.596527097254357,0.785184007028727,14.3546504852261
"correction","RF","Burst_4","rotbasal","common","precision",0.6232990499019,0.0574916381372118,0.510617509740756,0.735980590063045,10.841560096345
"correction","RF","Burst_4","rotbasal","uncommon","precision",0.708896138196074,0.0465524093445235,0.617655092487242,0.800137183904906,15.2279151214215
"correction","RF","Burst_4","rotbasal","rare","precision",0.732223391032945,0.0440429151107534,0.645900863641713,0.818545918424176,16.62522540099
"correction","RF","Burst_4","uncorrected","common","recall",0.803564215437635,0.0339247354569572,0.73707295575695,0.87005547511832,23.6866759493873
"correction","RF","Burst_4","uncorrected","uncommon","recall",0.554869938774411,0.0427672684163564,0.471047632961195,0.638692244587627,12.9741729907211
"correction","RF","Burst_4","uncorrected","rare","recall",0.403764381734276,0.0422294416067172,0.320996197097873,0.486532566370679,9.56120579321255
"correction","RF","Burst_4","rotdaily","common","recall",0.729576382851968,0.0397603841787398,0.651647461850162,0.807505303853774,18.3493293116136
"correction","RF","Burst_4","rotdaily","uncommon","recall",0.451186002802885,0.0422945420874603,0.368290223568849,0.53408178203692,10.6677122043285
"correction","RF","Burst_4","rotdaily","rare","recall",0.308732521768976,0.0370221300574543,0.236170480225407,0.381294563312544,8.33913449306823
"correction","RF","Burst_4","rotbasal","common","recall",0.742195994293005,0.0389874368541285,0.665782022209383,0.818609966376626,19.0367988813917
"correction","RF","Burst_4","rotbasal","uncommon","recall",0.46731154973793,0.0425502873839785,0.383914518933504,0.550708580542357,10.982570940611
"correction","RF","Burst_4","rotbasal","rare","recall",0.322760978880207,0.0376898369358735,0.248890255902707,0.396631701857706,8.56360772877211
"model","RF","Burst_4","uncorrected","common","precision",0.647405947686257,0.0703868573303168,0.509450242333878,0.785361653038637,9.197824313253
"model","RF","Burst_4","uncorrected","uncommon","precision",0.732752338964435,0.0504437409217512,0.633884423512333,0.831620254416536,14.526130012861
"model","RF","Burst_4","uncorrected","rare","precision",0.883271110810933,0.0279097394550568,0.828569026661125,0.937973194960741,31.6474151338198
"model","SVC","Burst_4","uncorrected","common","precision",0.566413013025482,0.0748210781408304,0.419766394584998,0.713059631465967,7.57023324308911
"model","SVC","Burst_4","uncorrected","uncommon","precision",0.308412335902643,0.0542935131072533,0.201999005618273,0.414825666187012,5.68046380224824
"model","SVC","Burst_4","uncorrected","rare","precision",0.107370410276619,0.0260032710021818,0.0564049356321076,0.15833588492113,4.12911169012582
"model","XGB","Burst_4","uncorrected","common","precision",0.650761866353921,0.0701263422466294,0.513316761182997,0.788206971524844,9.27984899119986
"model","XGB","Burst_4","uncorrected","uncommon","precision",0.705254213077609,0.0531113330132013,0.601157913200822,0.809350512954397,13.2787895363559
"model","XGB","Burst_4","uncorrected","rare","precision",0.729174187459546,0.0508132981525693,0.629581953144814,0.828766421774277,14.3500661041558
"model","CatEmbed","Burst_4","uncorrected","common","precision",0.650572481293813,0.0701412734529511,0.513098111496253,0.788046851091372,9.27517350722466
"model","CatEmbed","Burst_4","uncorrected","uncommon","precision",0.686692635835499,0.054694458128824,0.57949346774907,0.793891803921928,12.5550679050171
"model","CatEmbed","Burst_4","uncorrected","rare","precision",0.522367331106125,0.0618940048078612,0.401057310823768,0.643677351388481,8.43970805779525
"model","GANDALF","Burst_4","uncorrected","common","precision",0.637049300862768,0.0711508543076559,0.497596188950506,0.776502412775031,8.95350178239843
"model","GANDALF","Burst_4","uncorrected","uncommon","precision",0.662397389176799,0.0565137554455669,0.551632463872384,0.773162314481214,11.7209940120651
