"comparison","model","burst","correction_type","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"burst","RF",NA,"uncorrected","accuracy","Burst_2","Burst_1",-0.012684053839854,0.0117561035183595,-0.0357255933343634,0.0103574856546553,-1.07893349357169,0.280617376482307
"burst","RF",NA,"uncorrected","accuracy","Burst_3","Burst_1",0.00669361684914616,0.0116247657770647,-0.0160905054026144,0.0294777391009067,0.575806599248001,0.564745912466998
"burst","RF",NA,"uncorrected","accuracy","Burst_4","Burst_1",-0.00425289989728539,0.0117005102644384,-0.0271854786163258,0.0186796788217551,-0.363479865507346,0.716246450922307
"burst","RF",NA,"uncorrected","accuracy","Burst_3","Burst_2",0.0193776706890002,0.0117096454088798,-0.00357281258413899,0.0423281539621394,1.6548469242549,0.0979555527790325
"burst","RF",NA,"uncorrected","accuracy","Burst_4","Burst_2",0.00843115394256866,0.0117848428644305,-0.0146667136351789,0.0315290215203162,0.715423535091498,0.474347374088008
"burst","RF",NA,"uncorrected","accuracy","Burst_4","Burst_3",-0.0109465167464315,0.0116538278089964,-0.0337875995340958,0.0118945660412328,-0.939306545955755,0.347573378718268
"burst","RF",NA,"uncorrected","roc_auc","Burst_2","Burst_1",0.000182066577562146,0.00517856298871909,-0.00996773037199938,0.0103318635271237,0.0351577412418767,0.971953958985946
"burst","RF",NA,"uncorrected","roc_auc","Burst_3","Burst_1",0.00300708099872349,0.00513877169263069,-0.0070647264436066,0.0130788884410536,0.585175053220563,0.558430017238232
"burst","RF",NA,"uncorrected","roc_auc","Burst_4","Burst_1",-0.00232662926648231,0.00521345005669578,-0.0125448036128043,0.00789154507983973,-0.446274394341641,0.655399050068881
"burst","RF",NA,"uncorrected","roc_auc","Burst_3","Burst_2",0.00282501442116134,0.00513619190038935,-0.00724173672128812,0.0128917655636108,0.550021197795821,0.582304834353816
"burst","RF",NA,"uncorrected","roc_auc","Burst_4","Burst_2",-0.00250869584404445,0.00521091540002389,-0.0127219023545764,0.0077045106664875,-0.481430929397347,0.630210258833428
"burst","RF",NA,"uncorrected","roc_auc","Burst_4","Burst_3",-0.00533371026520579,0.00517136097627086,-0.0154693915297526,0.00480197099934098,-1.03139391925644,0.302356131226084
