"burst","new_burst","Ind_ID","burst_id"
"burst_1",53739,"Vry",53739
"burst_1",53740,"Vry",53740
"burst_1",53741,"Vry",53741
"burst_1",53742,"Vry",53742
"burst_1",53743,"Vry",53743
"burst_1",53744,"Vry",53744
"burst_1",53745,"Vry",53745
"burst_1",53746,"Vry",53746
"burst_1",53747,"Vry",53747
"burst_1",53748,"Vry",53748
"burst_1",55065,"Zeus",55065
"burst_1",55066,"Zeus",55066
"burst_1",55067,"Zeus",55067
"burst_1",62328,"Ratel",62328
"burst_1",62329,"Ratel",62329
"burst_1",62330,"Ratel",62330
"burst_1",62331,"Ratel",62331
"burst_1",62332,"Ratel",62332
"burst_1",62333,"Ratel",62333
"burst_1",62362,"Ratel",62362
"burst_1",62363,"Ratel",62363
"burst_1",62364,"Ratel",62364
"burst_1",62405,"Ratel",62405
"burst_1",62406,"Ratel",62406
"burst_1",62463,"Ratel",62463
"burst_1",62464,"Ratel",62464
"burst_1",62465,"Ratel",62465
"burst_1",66836,"Furry Glen",66836
"burst_1",66837,"Furry Glen",66837
"burst_1",66838,"Furry Glen",66838
"burst_1",66839,"Furry Glen",66839
"burst_1",66840,"Furry Glen",66840
"burst_1",66841,"Furry Glen",66841
"burst_1",66842,"Furry Glen",66842
"burst_1",66843,"Furry Glen",66843
"burst_1",66844,"Furry Glen",66844
"burst_1",66845,"Furry Glen",66845
"burst_1",66846,"Furry Glen",66846
"burst_1",66847,"Furry Glen",66847
"burst_1",66848,"Furry Glen",66848
"burst_1",66849,"Furry Glen",66849
"burst_1",66850,"Furry Glen",66850
"burst_1",66851,"Furry Glen",66851
"burst_1",66852,"Furry Glen",66852
"burst_1",66853,"Furry Glen",66853
"burst_1",66854,"Furry Glen",66854
"burst_1",66860,"Yamuna",66860
"burst_1",66861,"Yamuna",66861
"burst_1",66862,"Yamuna",66862
"burst_1",69060,"Ratel",69060
"burst_1",69061,"Ratel",69061
"burst_1",69062,"Ratel",69062
"burst_1",69063,"Ratel",69063
"burst_1",69064,"Ratel",69064
"burst_1",69065,"Ratel",69065
"burst_1",69066,"Ratel",69066
"burst_1",69067,"Ratel",69067
"burst_1",69068,"Ratel",69068
"burst_1",69069,"Ratel",69069
"burst_1",69121,"Ratel",69121
"burst_1",69122,"Ratel",69122
"burst_1",69123,"Ratel",69123
"burst_1",70722,"Aarhus",70722
"burst_1",70723,"Aarhus",70723
"burst_1",70724,"Aarhus",70724
"burst_1",70725,"Aarhus",70725
"burst_1",70726,"Aarhus",70726
"burst_1",70727,"Aarhus",70727
"burst_1",70728,"Aarhus",70728
"burst_1",70729,"Aarhus",70729
"burst_1",70730,"Aarhus",70730
"burst_1",70731,"Aarhus",70731
"burst_1",70732,"Aarhus",70732
"burst_1",70733,"Aarhus",70733
"burst_1",70734,"Aarhus",70734
"burst_1",70735,"Aarhus",70735
"burst_1",70788,"Aarhus",70788
"burst_1",70789,"Aarhus",70789
"burst_1",70821,"Aarhus",70821
"burst_1",70847,"Okefenokee",70847
"burst_1",70927,"Seychelles",70927
"burst_1",70928,"Seychelles",70928
"burst_1",70929,"Seychelles",70929
"burst_1",70930,"Seychelles",70930
"burst_1",70931,"Seychelles",70931
"burst_1",70932,"Seychelles",70932
"burst_1",70933,"Seychelles",70933
"burst_1",70934,"Seychelles",70934
"burst_1",70935,"Seychelles",70935
"burst_1",72358,"Zeus",72358
"burst_1",72359,"Zeus",72359
"burst_1",72360,"Zeus",72360
"burst_1",72361,"Zeus",72361
"burst_1",72364,"Zeus",72364
"burst_1",72365,"Zeus",72365
"burst_1",72366,"Zeus",72366
"burst_1",72367,"Zeus",72367
"burst_1",72368,"Zeus",72368
"burst_1",72369,"Zeus",72369
"burst_1",72370,"Zeus",72370
"burst_1",73088,"Ratel",73088
"burst_1",73089,"Ratel",73089
"burst_1",73090,"Ratel",73090
"burst_1",73091,"Ratel",73091
"burst_1",73509,"Yamuna",73509
"burst_1",73510,"Yamuna",73510
"burst_1",73511,"Yamuna",73511
"burst_1",73512,"Yamuna",73512
"burst_1",73513,"Yamuna",73513
"burst_1",73514,"Yamuna",73514
"burst_1",73515,"Yamuna",73515
"burst_1",73516,"Yamuna",73516
"burst_1",73517,"Yamuna",73517
"burst_1",73610,"Yamuna",73610
"burst_1",73627,"Furry Glen",73627
"burst_1",73628,"Furry Glen",73628
"burst_1",73629,"Furry Glen",73629
"burst_1",73630,"Furry Glen",73630
"burst_1",73631,"Furry Glen",73631
"burst_1",74019,"Xian",74019
"burst_1",74020,"Xian",74020
"burst_1",74021,"Xian",74021
"burst_1",74022,"Xian",74022
"burst_1",74023,"Xian",74023
"burst_1",74044,"Xian",74044
"burst_1",74045,"Xian",74045
"burst_1",74046,"Xian",74046
"burst_1",75535,"Furry Glen",75535
"burst_1",75557,"Yamuna",75557
"burst_1",75558,"Yamuna",75558
"burst_1",76546,"Furry Glen",76546
"burst_1",76549,"Furry Glen",76549
"burst_1",76555,"Furry Glen",76555
"burst_1",76556,"Furry Glen",76556
"burst_1",76557,"Furry Glen",76557
"burst_1",76559,"Furry Glen",76559
"burst_1",77408,"Aarhus",77408
"burst_1",77449,"Aarhus",77449
"burst_1",77450,"Aarhus",77450
"burst_1",77451,"Aarhus",77451
"burst_1",77452,"Aarhus",77452
"burst_1",77460,"Okefenokee",77460
"burst_1",77461,"Okefenokee",77461
"burst_1",77462,"Okefenokee",77462
"burst_1",77463,"Okefenokee",77463
