"idindividual1","date","n"
"Aar",2022-06-13,1
"Aar",2022-06-17,1
"Aar",2022-06-18,1
"Aar",2022-06-20,1
"Aar",2022-06-21,1
"Aar",2022-06-23,1
"Aar",2022-06-29,1
"Aar",2022-07-04,1
"Aar",2022-07-09,1
"Aar",2022-07-11,1
"Aar",2022-07-13,1
"Aar",2022-07-14,1
"Aar",2022-07-21,1
"Aar",2022-07-25,1
"Aar",2022-08-01,1
"Aar",2022-08-03,1
"Aar",2022-08-09,1
"Aar",2022-08-11,1
"Aar",2022-08-13,1
"Aar",2022-08-22,1
"Aar",2022-08-23,1
"Aar",2022-08-29,1
"Aar",2022-08-31,1
"Aar",2022-09-13,1
"Aar",2022-09-16,1
"Aar",2022-09-24,1
"Aar",2022-09-28,1
"Aar",2022-09-29,1
"Aar",2022-10-06,1
"Aar",2022-10-07,1
"Aar",2022-10-11,1
"Aar",2022-10-13,1
"Aar",2022-10-25,1
"Aar",2022-11-07,1
"Aar",2022-11-10,1
"Aar",2022-11-19,1
"Aar",2022-11-21,1
"Aar",2022-11-26,1
"Aar",2022-12-07,1
"Aar",2022-12-14,1
"Aar",2023-01-25,1
"Aar",2023-01-30,1
"Aar",2023-03-24,1
"Aar",2023-03-28,1
"Aar",2023-04-24,1
"Aar",2023-06-01,1
"Aar",2023-07-24,1
"Aar",2023-07-29,1
"Aar",2023-08-04,1
"Aar",2023-08-17,1
"Aar",2023-09-02,1
"Aar",2023-09-03,1
"Ass",2022-06-21,1
"Ass",2022-07-13,1
"Ass",2023-01-24,1
"Ass",2023-02-06,1
"Ass",2023-02-28,1
"Ass",2023-04-18,1
"Ass",2023-07-15,1
"Deli",2022-06-23,1
"Deli",2022-06-27,1
"Deli",2022-07-08,1
"Deli",2022-07-18,1
"Deli",2022-07-29,1
"Deli",2022-08-05,1
"Deli",2022-09-12,1
"Deli",2022-09-27,1
"Deli",2022-09-28,1
"Deli",2022-10-15,1
"Deli",2022-11-07,1
"Deli",2022-11-14,1
"Deli",2022-11-29,1
"Deli",2023-04-13,1
"Dok",2022-06-25,1
"Dok",2022-06-27,1
"Fle",2022-06-08,1
"Fle",2022-06-11,1
"Fle",2022-06-20,1
"Fle",2022-06-22,1
"Fle",2022-06-29,1
"Fle",2022-07-08,1
"Fle",2022-07-20,1
"Fle",2022-07-23,1
"Fle",2022-08-06,1
"Fle",2022-08-17,1
"Fle",2022-08-22,1
"Fle",2022-09-07,1
"Fle",2022-09-08,1
"Fle",2022-09-12,1
"Fle",2022-10-27,1
"Fle",2022-11-16,1
"Fle",2022-11-17,1
"Fle",2022-11-28,1
"Fle",2022-12-02,1
"Fle",2022-12-03,1
"Fle",2022-12-14,1
"Fle",2023-01-13,1
"Fle",2023-01-19,1
"Fle",2023-01-28,1
"Fle",2023-02-01,1
"Fle",2023-02-03,1
"Fle",2023-02-07,1
"Fle",2023-03-06,1
"Fle",2023-03-07,1
"Fle",2023-03-13,1
"Fle",2023-03-16,1
"Fle",2023-03-17,1
"Fle",2023-03-20,1
"Fle",2023-03-31,1
"Fle",2023-04-04,1
"Fle",2023-04-07,1
"Fle",2023-04-08,1
"Fle",2023-04-12,1
"Fle",2023-04-14,1
"Fle",2023-04-18,1
"Fle",2023-04-20,1
"Fle",2023-04-28,1
"Fle",2023-05-04,1
"Flu",2022-06-25,1
"Flu",2022-06-27,1
"Flu",2022-06-30,1
"Flu",2022-07-07,1
"Flu",2022-07-08,1
"Flu",2022-07-13,1
"Flu",2022-07-14,1
"Flu",2022-07-25,1
"Flu",2022-07-26,1
"Flu",2022-07-27,1
"Flu",2022-08-01,1
"Flu",2022-08-05,1
"Flu",2022-08-18,1
"Flu",2022-08-30,1
"Flu",2022-09-08,1
"Flu",2022-09-09,1
"Flu",2022-09-16,1
"Flu",2022-10-27,1
"Flu",2022-11-02,1
"Flu",2022-11-03,1
"Flu",2022-11-07,1
"Flu",2022-11-11,1
"Flu",2022-11-12,1
"Flu",2022-11-17,1
"Flu",2022-11-22,1
"Flu",2022-12-02,1
"Flu",2022-12-06,1
"Flu",2023-01-10,1
"Fur",2022-06-17,1
"Fur",2022-06-18,1
"Fur",2022-06-21,1
"Fur",2022-06-23,1
"Fur",2022-06-24,1
"Fur",2022-06-28,1
"Fur",2022-07-04,1
"Fur",2022-07-09,1
"Fur",2022-07-11,1
"Fur",2022-07-13,1
"Fur",2022-07-14,1
"Fur",2022-07-21,1
"Fur",2022-07-26,1
"Fur",2022-07-27,1
"Fur",2022-08-01,1
"Fur",2022-08-02,1
"Fur",2022-08-03,1
"Fur",2022-08-18,1
"Fur",2022-08-25,1
"Fur",2022-08-29,1
"Fur",2022-09-03,1
"Fur",2022-09-07,1
"Fur",2022-09-14,1
"Fur",2022-09-16,1
"Fur",2022-09-17,1
"Fur",2022-09-19,1
"Fur",2022-09-20,1
"Fur",2022-09-28,1
"Fur",2022-09-29,1
"Fur",2022-10-06,1
"Fur",2022-10-07,1
"Fur",2022-10-11,1
"Fur",2022-10-12,1
"Fur",2022-10-13,1
"Fur",2022-10-22,1
"Fur",2022-10-25,1
"Fur",2022-10-26,1
"Fur",2022-11-10,1
"Fur",2022-11-14,1
"Fur",2022-11-19,1
"Fur",2022-11-21,1
"Fur",2022-11-28,1
"Fur",2022-12-01,1
"Fur",2022-12-05,1
"Fur",2022-12-07,1
"Fur",2022-12-29,1
"Fur",2023-01-25,1
