"idindividual1","year_month","Final_behaviour","total_duration","prop_duration","year","n_scans","n_behaviours"
"Aar",2022-06-01,"Forage",3580,0.497498610339077,2022,7,9
"Aar",2022-06-01,"Grooming actor",70,0.00972762645914397,2022,7,9
"Aar",2022-06-01,"Grooming receiver",352,0.0489160644802668,2022,7,9
"Aar",2022-06-01,"Other",376,0.0522512506948305,2022,7,9
"Aar",2022-06-01,"Resting",2209,0.306976097832129,2022,7,9
"Aar",2022-06-01,"Running",7,0.000972762645914397,2022,7,9
"Aar",2022-06-01,"Self-scratching",86,0.0119510839355197,2022,7,9
"Aar",2022-06-01,"Sleeping",256,0.0355753196220122,2022,7,9
"Aar",2022-06-01,"Walking",260,0.0361311839911062,2022,7,9
"Aar",2022-07-01,"Forage",2550,0.287940379403794,2022,7,9
"Aar",2022-07-01,"Grooming actor",1908,0.215447154471545,2022,7,9
"Aar",2022-07-01,"Grooming receiver",973,0.10986901535682,2022,7,9
"Aar",2022-07-01,"Other",651,0.0735094850948509,2022,7,9
"Aar",2022-07-01,"Resting",2110,0.238256549232159,2022,7,9
"Aar",2022-07-01,"Running",16,0.001806684733514,2022,7,9
"Aar",2022-07-01,"Self-scratching",295,0.0333107497741644,2022,7,9
"Aar",2022-07-01,"Sleeping",259,0.0292457091237579,2022,7,9
"Aar",2022-07-01,"Walking",94,0.0106142728093948,2022,7,9
"Aar",2022-08-01,"Forage",3728,0.381498158002456,2022,9,9
"Aar",2022-08-01,"Grooming actor",547,0.0559762586983217,2022,9,9
"Aar",2022-08-01,"Grooming receiver",1212,0.124027834629554,2022,9,9
"Aar",2022-08-01,"Other",1005,0.102844862873516,2022,9,9
"Aar",2022-08-01,"Resting",2446,0.250306999590667,2022,9,9
"Aar",2022-08-01,"Running",4,0.000409332787556283,2022,9,9
"Aar",2022-08-01,"Self-scratching",173,0.0177036430618093,2022,9,9
"Aar",2022-08-01,"Sleeping",362,0.0370446172738436,2022,9,9
"Aar",2022-08-01,"Walking",295,0.0301882930822759,2022,9,9
"Aar",2022-09-01,"Forage",2866,0.476951239806956,2022,5,7
"Aar",2022-09-01,"Other",94,0.0156432018638709,2022,5,7
"Aar",2022-09-01,"Resting",2133,0.354967548676985,2022,5,7
"Aar",2022-09-01,"Running",13,0.00216342153436512,2022,5,7
"Aar",2022-09-01,"Self-scratching",85,0.0141454484939258,2022,5,7
"Aar",2022-09-01,"Sleeping",467,0.0777167581960393,2022,5,7
"Aar",2022-09-01,"Walking",351,0.0584123814278582,2022,5,7
"Aar",2022-10-01,"Forage",3034,0.506764656756305,2022,5,9
"Aar",2022-10-01,"Grooming actor",295,0.0492734257558042,2022,5,9
"Aar",2022-10-01,"Grooming receiver",20,0.00334057123768164,2022,5,9
"Aar",2022-10-01,"Other",483,0.0806747953900117,2022,5,9
"Aar",2022-10-01,"Resting",894,0.149323534324369,2022,5,9
"Aar",2022-10-01,"Running",3,0.000501085685652247,2022,5,9
"Aar",2022-10-01,"Self-scratching",286,0.0477701686988475,2022,5,9
"Aar",2022-10-01,"Sleeping",414,0.06914982462001,2022,5,9
