burst,Ind_ID,new_burst,attribution_merged
burst_1,Aarhus,70722,Walking
burst_1,Aarhus,70723,Eating
burst_1,Aarhus,70724,Eating
burst_1,Aarhus,70725,Walking
burst_1,Aarhus,70726,Walking
burst_1,Aarhus,70727,Resting
burst_1,Aarhus,70728,Resting
burst_1,Aarhus,70729,Resting
burst_1,Aarhus,70730,Eating
burst_1,Aarhus,70731,Resting
burst_1,Aarhus,70732,Eating
burst_1,Aarhus,70733,Eating
burst_1,Aarhus,70734,Walking
burst_1,Aarhus,70735,Resting
burst_1,Aarhus,70788,Eating
burst_1,Aarhus,70789,Resting
burst_1,Aarhus,70821,Remove
burst_1,Aarhus,77408,Grooming receiver
burst_1,Aarhus,77449,Resting
burst_1,Aarhus,77450,Resting
burst_1,Aarhus,77451,Eating
burst_1,Aarhus,77452,Eating
burst_1,Aarhus,77535,Resting
burst_1,Aarhus,79394,Eating
burst_1,Aarhus,79395,Eating
burst_1,Aarhus,79396,Resting
burst_1,Aarhus,79433,Grooming actor
burst_1,Aarhus,79434,Eating
burst_1,Aarhus,79486,Eating
burst_1,Aarhus,79487,Resting
burst_1,Aarhus,79488,Walking
burst_1,Aarhus,80384,Walking
burst_1,Aarhus,85233,Sleeping
burst_1,Aarhus,85234,Resting
burst_1,Aarhus,85235,Sleeping
burst_1,Aarhus,85236,Sleeping
burst_1,Aarhus,85309,Grooming actor
burst_1,Aarhus,85310,Resting
burst_1,Aarhus,85311,Grooming receiver
burst_1,Aarhus,93777,Grooming actor
burst_1,Aarhus,93778,Grooming actor
burst_1,Aarhus,93779,Resting
burst_1,Aarhus,95963,Resting
burst_1,Aarhus,95964,Resting
burst_1,Aarhus,95965,Walking
burst_1,Aarhus,100599,Resting
burst_1,Aarhus,100600,Resting
burst_1,Aarhus,158299,Running
burst_1,Aarhus,158300,Walking
burst_1,Aarhus,158301,Walking
burst_1,Aarhus,179130,Resting
burst_1,Aarhus,179131,Resting
burst_1,Aarhus,179132,Resting
burst_1,Aarhus,312527,Resting
burst_1,Aarhus,312528,Walking
burst_1,Furry Glen,66836,Grooming receiver
burst_1,Furry Glen,66837,Grooming receiver
burst_1,Furry Glen,66838,Grooming actor
burst_1,Furry Glen,66839,Grooming actor
burst_1,Furry Glen,66840,Grooming actor
burst_1,Furry Glen,66841,Grooming actor
