burst,Ind_ID,new_burst,attribution_merged,activity,id
burst_1,Aarhus,70722,Walking,Active,Aarhus_70722
burst_1,Aarhus,70723,Eating,Active,Aarhus_70723
burst_1,Aarhus,70724,Eating,Active,Aarhus_70724
burst_1,Aarhus,70725,Walking,Active,Aarhus_70725
burst_1,Aarhus,70726,Walking,Active,Aarhus_70726
burst_1,Aarhus,70727,Resting,Inactive,Aarhus_70727
burst_1,Aarhus,70728,Remove,Remove,Aarhus_70728
burst_1,Aarhus,70729,Resting,Inactive,Aarhus_70729
burst_1,Aarhus,70730,Eating,Active,Aarhus_70730
burst_1,Aarhus,70731,Resting,Inactive,Aarhus_70731
burst_1,Aarhus,70732,Eating,Active,Aarhus_70732
burst_1,Aarhus,70733,Eating,Active,Aarhus_70733
burst_1,Aarhus,70734,Walking,Active,Aarhus_70734
burst_1,Aarhus,70735,Resting,Inactive,Aarhus_70735
burst_1,Aarhus,70788,Eating,Active,Aarhus_70788
burst_1,Aarhus,70789,Remove,Remove,Aarhus_70789
burst_1,Aarhus,70821,Remove,Remove,Aarhus_70821
burst_1,Aarhus,77408,Grooming receiver,Inactive,Aarhus_77408
burst_1,Aarhus,77449,Resting,Inactive,Aarhus_77449
burst_1,Aarhus,77450,Resting,Inactive,Aarhus_77450
burst_1,Aarhus,77451,Eating,Active,Aarhus_77451
burst_1,Aarhus,77452,Eating,Active,Aarhus_77452
burst_1,Aarhus,77535,Resting,Inactive,Aarhus_77535
burst_1,Aarhus,79394,Eating,Active,Aarhus_79394
burst_1,Aarhus,79395,Eating,Active,Aarhus_79395
burst_1,Aarhus,79396,Remove,Remove,Aarhus_79396
burst_1,Aarhus,79433,Grooming actor,Active,Aarhus_79433
burst_1,Aarhus,79434,Eating,Active,Aarhus_79434
burst_1,Aarhus,79486,Eating,Active,Aarhus_79486
burst_1,Aarhus,79487,Resting,Inactive,Aarhus_79487
burst_1,Aarhus,79488,Walking,Active,Aarhus_79488
burst_1,Aarhus,80384,Walking,Active,Aarhus_80384
burst_1,Aarhus,85233,Sleeping,Inactive,Aarhus_85233
burst_1,Aarhus,85234,Resting,Inactive,Aarhus_85234
burst_1,Aarhus,85235,Sleeping,Inactive,Aarhus_85235
burst_1,Aarhus,85236,Sleeping,Inactive,Aarhus_85236
burst_1,Aarhus,85309,Grooming actor,Active,Aarhus_85309
burst_1,Aarhus,85310,Resting,Inactive,Aarhus_85310
burst_1,Aarhus,85311,Grooming receiver,Inactive,Aarhus_85311
burst_1,Aarhus,93777,Grooming actor,Active,Aarhus_93777
burst_1,Aarhus,93778,Grooming actor,Active,Aarhus_93778
burst_1,Aarhus,93779,Resting,Inactive,Aarhus_93779
burst_1,Aarhus,95963,Resting,Inactive,Aarhus_95963
burst_1,Aarhus,95964,Resting,Inactive,Aarhus_95964
burst_1,Aarhus,95965,Walking,Active,Aarhus_95965
burst_1,Aarhus,100599,Resting,Inactive,Aarhus_100599
burst_1,Aarhus,100600,Remove,Remove,Aarhus_100600
burst_1,Aarhus,158299,Running,Active,Aarhus_158299
burst_1,Aarhus,158300,Walking,Active,Aarhus_158300
burst_1,Aarhus,158301,Walking,Active,Aarhus_158301
burst_1,Aarhus,179130,Resting,Inactive,Aarhus_179130
burst_1,Aarhus,179131,Resting,Inactive,Aarhus_179131
burst_1,Aarhus,179132,Resting,Inactive,Aarhus_179132
burst_1,Aarhus,312527,Resting,Inactive,Aarhus_312527
burst_1,Aarhus,312528,Walking,Active,Aarhus_312528
burst_1,Furry Glen,66836,Grooming receiver,Inactive,Furry Glen_66836
burst_1,Furry Glen,66837,Grooming receiver,Inactive,Furry Glen_66837
burst_1,Furry Glen,66838,Grooming actor,Active,Furry Glen_66838
burst_1,Furry Glen,66839,Grooming actor,Active,Furry Glen_66839
burst_1,Furry Glen,66840,Grooming actor,Active,Furry Glen_66840
burst_1,Furry Glen,66841,Grooming actor,Active,Furry Glen_66841
burst_1,Furry Glen,66842,Resting,Inactive,Furry Glen_66842
burst_1,Furry Glen,66843,Resting,Inactive,Furry Glen_66843
burst_1,Furry Glen,66844,Resting,Inactive,Furry Glen_66844
burst_1,Furry Glen,66845,Resting,Inactive,Furry Glen_66845
burst_1,Furry Glen,66846,Grooming actor,Active,Furry Glen_66846
burst_1,Furry Glen,66847,Grooming receiver,Inactive,Furry Glen_66847
burst_1,Furry Glen,66848,Grooming receiver,Inactive,Furry Glen_66848
burst_1,Furry Glen,66849,Resting,Inactive,Furry Glen_66849
burst_1,Furry Glen,66850,Resting,Inactive,Furry Glen_66850
burst_1,Furry Glen,66851,Resting,Inactive,Furry Glen_66851
burst_1,Furry Glen,66852,Resting,Inactive,Furry Glen_66852
burst_1,Furry Glen,66853,Remove,Remove,Furry Glen_66853
burst_1,Furry Glen,66854,Resting,Inactive,Furry Glen_66854
burst_1,Furry Glen,73627,Remove,Remove,Furry Glen_73627
burst_1,Furry Glen,73628,Remove,Remove,Furry Glen_73628
burst_1,Furry Glen,73629,Resting,Inactive,Furry Glen_73629
burst_1,Furry Glen,73630,Resting,Inactive,Furry Glen_73630
burst_1,Furry Glen,73631,Grooming actor,Active,Furry Glen_73631
burst_1,Furry Glen,75535,Grooming receiver,Inactive,Furry Glen_75535
burst_1,Furry Glen,76546,Remove,Remove,Furry Glen_76546
burst_1,Furry Glen,76549,Sleeping,Inactive,Furry Glen_76549
burst_1,Furry Glen,76555,Grooming actor,Active,Furry Glen_76555
burst_1,Furry Glen,76556,Grooming actor,Active,Furry Glen_76556
burst_1,Furry Glen,76557,Resting,Inactive,Furry Glen_76557
burst_1,Furry Glen,76559,Grooming actor,Active,Furry Glen_76559
burst_1,Furry Glen,81335,Sleeping,Inactive,Furry Glen_81335
burst_1,Furry Glen,81336,Sleeping,Inactive,Furry Glen_81336
burst_1,Furry Glen,81337,Sleeping,Inactive,Furry Glen_81337
burst_1,Furry Glen,81338,Sleeping,Inactive,Furry Glen_81338
burst_1,Furry Glen,81411,Grooming receiver,Inactive,Furry Glen_81411
burst_1,Furry Glen,91974,Eating,Active,Furry Glen_91974
