burst,Ind_ID,new_burst,attribution_merged,activity,id,split
burst_1,Aarhus,70722,Walking,Active,Aarhus_70722,test
burst_1,Aarhus,70723,Eating,Active,Aarhus_70723,train
burst_1,Aarhus,70724,Eating,Active,Aarhus_70724,test
burst_1,Aarhus,70725,Walking,Active,Aarhus_70725,train
burst_1,Aarhus,70726,Walking,Active,Aarhus_70726,train
burst_1,Aarhus,70727,Resting,Inactive,Aarhus_70727,train
burst_1,Aarhus,70728,Remove,Remove,Aarhus_70728,train
burst_1,Aarhus,70729,Resting,Inactive,Aarhus_70729,train
burst_1,Aarhus,70730,Eating,Active,Aarhus_70730,train
burst_1,Aarhus,70731,Resting,Inactive,Aarhus_70731,test
burst_1,Aarhus,70732,Eating,Active,Aarhus_70732,train
burst_1,Aarhus,70733,Eating,Active,Aarhus_70733,train
burst_1,Aarhus,70734,Walking,Active,Aarhus_70734,train
burst_1,Aarhus,70735,Resting,Inactive,Aarhus_70735,train
burst_1,Aarhus,70788,Eating,Active,Aarhus_70788,train
burst_1,Aarhus,70789,Remove,Remove,Aarhus_70789,train
burst_1,Aarhus,70821,Remove,Remove,Aarhus_70821,train
burst_1,Aarhus,77408,Grooming receiver,Inactive,Aarhus_77408,train
burst_1,Aarhus,77449,Resting,Inactive,Aarhus_77449,train
burst_1,Aarhus,77450,Resting,Inactive,Aarhus_77450,train
burst_1,Aarhus,77451,Eating,Active,Aarhus_77451,train
burst_1,Aarhus,77452,Eating,Active,Aarhus_77452,train
burst_1,Aarhus,77535,Resting,Inactive,Aarhus_77535,test
burst_1,Aarhus,79394,Eating,Active,Aarhus_79394,test
burst_1,Aarhus,79395,Eating,Active,Aarhus_79395,train
burst_1,Aarhus,79396,Remove,Remove,Aarhus_79396,test
burst_1,Aarhus,79433,Grooming actor,Active,Aarhus_79433,train
burst_1,Aarhus,79434,Eating,Active,Aarhus_79434,train
burst_1,Aarhus,79486,Eating,Active,Aarhus_79486,train
burst_1,Aarhus,79487,Resting,Inactive,Aarhus_79487,test
burst_1,Aarhus,79488,Walking,Active,Aarhus_79488,train
burst_1,Aarhus,80384,Walking,Active,Aarhus_80384,train
burst_1,Aarhus,85233,Sleeping,Inactive,Aarhus_85233,train
burst_1,Aarhus,85234,Resting,Inactive,Aarhus_85234,train
burst_1,Aarhus,85235,Sleeping,Inactive,Aarhus_85235,test
burst_1,Aarhus,85236,Sleeping,Inactive,Aarhus_85236,train
burst_1,Aarhus,85309,Grooming actor,Active,Aarhus_85309,train
burst_1,Aarhus,85310,Resting,Inactive,Aarhus_85310,test
burst_1,Aarhus,85311,Grooming receiver,Inactive,Aarhus_85311,train
burst_1,Aarhus,93777,Grooming actor,Active,Aarhus_93777,train
burst_1,Aarhus,93778,Grooming actor,Active,Aarhus_93778,train
burst_1,Aarhus,93779,Resting,Inactive,Aarhus_93779,train
burst_1,Aarhus,95963,Resting,Inactive,Aarhus_95963,train
burst_1,Aarhus,95964,Resting,Inactive,Aarhus_95964,train
burst_1,Aarhus,95965,Walking,Active,Aarhus_95965,train
burst_1,Aarhus,100599,Resting,Inactive,Aarhus_100599,train
burst_1,Aarhus,100600,Remove,Remove,Aarhus_100600,train
burst_1,Aarhus,158299,Running,Active,Aarhus_158299,train
burst_1,Aarhus,158300,Walking,Active,Aarhus_158300,test
burst_1,Aarhus,158301,Walking,Active,Aarhus_158301,train
burst_1,Aarhus,179130,Resting,Inactive,Aarhus_179130,train
burst_1,Aarhus,179131,Resting,Inactive,Aarhus_179131,train
burst_1,Aarhus,179132,Resting,Inactive,Aarhus_179132,test
