burst,correction_type,Ind_ID,new_burst
burst_1,rotbasal,Aarhus,70722
burst_1,rotbasal,Aarhus,70725
burst_1,rotbasal,Aarhus,70726
burst_1,rotbasal,Aarhus,70728
burst_1,rotbasal,Aarhus,70789
burst_1,rotbasal,Aarhus,77452
burst_1,rotbasal,Aarhus,79395
burst_1,rotbasal,Aarhus,79434
burst_1,rotbasal,Aarhus,79488
burst_1,rotbasal,Aarhus,80384
burst_1,rotbasal,Aarhus,100600
burst_1,rotbasal,Aarhus,158299
burst_1,rotbasal,Aarhus,158300
burst_1,rotbasal,Aarhus,158301
burst_1,rotbasal,Aarhus,312528
burst_1,rotbasal,Furry Glen,92043
burst_1,rotbasal,Furry Glen,96708
burst_1,rotbasal,Furry Glen,96709
burst_1,rotbasal,Furry Glen,301735
burst_1,rotbasal,Furry Glen,301736
burst_1,rotbasal,Furry Glen,301740
burst_1,rotbasal,Furry Glen,301742
burst_1,rotbasal,Furry Glen,301746
burst_1,rotbasal,Furry Glen,301747
burst_1,rotbasal,Furry Glen,301750
burst_1,rotbasal,Furry Glen,301888
burst_1,rotbasal,Furry Glen,377537
burst_1,rotbasal,Kommunis,214587
burst_1,rotbasal,Kommunis,214606
burst_1,rotbasal,Kommunis,306762
burst_1,rotbasal,Kommunis,306765
burst_1,rotbasal,Kommunis,306766
burst_1,rotbasal,Kommunis,306767
burst_1,rotbasal,Kommunis,306769
burst_1,rotbasal,Mieles,289540
burst_1,rotbasal,Mieles,289542
burst_1,rotbasal,Mieles,289545
burst_1,rotbasal,Mieles,300118
burst_1,rotbasal,Mieles,300119
burst_1,rotbasal,Mieles,300120
burst_1,rotbasal,Mieles,300134
burst_1,rotbasal,Mieles,300135
burst_1,rotbasal,Mieles,305036
burst_1,rotbasal,Mieles,306642
burst_1,rotbasal,Mieles,329819
burst_1,rotbasal,Mieles,329826
burst_1,rotbasal,Mieles,329827
burst_1,rotbasal,Mieles,329828
burst_1,rotbasal,Nakhu,87373
burst_1,rotbasal,Nakhu,87420
burst_1,rotbasal,Nakhu,87422
burst_1,rotbasal,Nakhu,87423
burst_1,rotbasal,Nakhu,160427
burst_1,rotbasal,Nakhu,160428
burst_1,rotbasal,Nakhu,160429
burst_1,rotbasal,Nakhu,160430
burst_1,rotbasal,Nakhu,160431
burst_1,rotbasal,Nakhu,160433
burst_1,rotbasal,Nakhu,209013
burst_1,rotbasal,Nakhu,209015
burst_1,rotbasal,Nakhu,209074
burst_1,rotbasal,Nakhu,209075
burst_1,rotbasal,Nakhu,217569
burst_1,rotbasal,Nakhu,217574
burst_1,rotbasal,Nakhu,217594
burst_1,rotbasal,Nakhu,307030
burst_1,rotbasal,Nakhu,307033
burst_1,rotbasal,Nakhu,307044
burst_1,rotbasal,Nakhu,308147
burst_1,rotbasal,Nakhu,308152
burst_1,rotbasal,Nakhu,309691
burst_1,rotbasal,Nakhu,309692
burst_1,rotbasal,Nakhu,309694
burst_1,rotbasal,Nakhu,309696
burst_1,rotbasal,Nakhu,309702
burst_1,rotbasal,Nakhu,309705
burst_1,rotbasal,Nakhu,309707
burst_1,rotbasal,Nakhu,309713
burst_1,rotbasal,Nakhu,309714
burst_1,rotbasal,Nakhu,309717
burst_1,rotbasal,Nakhu,309720
burst_1,rotbasal,Nakhu,309722
burst_1,rotbasal,Nakhu,309724
burst_1,rotbasal,Nakhu,309726
burst_1,rotbasal,Nakhu,309727
burst_1,rotbasal,Nakhu,322356
burst_1,rotbasal,Nakhu,322358
burst_1,rotbasal,Nakhu,322362
burst_1,rotbasal,Nakhu,322363
burst_1,rotbasal,Nakhu,322374
burst_1,rotbasal,Nakhu,326047
burst_1,rotbasal,Nakhu,326054
burst_1,rotbasal,Nakhu,326056
burst_1,rotbasal,Nakhu,326057
burst_1,rotbasal,Nakhu,326058
burst_1,rotbasal,Nakhu,326060
burst_1,rotbasal,Ndawanya,313690
burst_1,rotbasal,Ndawanya,313692
burst_1,rotbasal,Ndawanya,313696
burst_1,rotbasal,Ndawanya,313702
burst_1,rotbasal,Ndawanya,313705
burst_1,rotbasal,Ndawanya,342476
burst_1,rotbasal,Ndawanya,342481
burst_1,rotbasal,Ndawanya,342489
burst_1,rotbasal,Okefenokee,70847
burst_1,rotbasal,Okefenokee,79456
burst_1,rotbasal,Okefenokee,93774
burst_1,rotbasal,Okefenokee,93908
burst_1,rotbasal,Okefenokee,100584
burst_1,rotbasal,Okefenokee,100586
burst_1,rotbasal,Okefenokee,100587
burst_1,rotbasal,Okefenokee,179146
burst_1,rotbasal,Okefenokee,179160
burst_1,rotbasal,Pomelo,88553
burst_1,rotbasal,Pomelo,88556
burst_1,rotbasal,Pomelo,88571
burst_1,rotbasal,Pomelo,88573
burst_1,rotbasal,Pomelo,142126
burst_1,rotbasal,Pomelo,142127
burst_1,rotbasal,Pomelo,142128
burst_1,rotbasal,Pomelo,160490
burst_1,rotbasal,Pomelo,160499
burst_1,rotbasal,Pomelo,161587
burst_1,rotbasal,Pomelo,161590
burst_1,rotbasal,Pomelo,161592
burst_1,rotbasal,Pomelo,300231
burst_1,rotbasal,Pomelo,300236
burst_1,rotbasal,Pomelo,300245
burst_1,rotbasal,Pomelo,304145
burst_1,rotbasal,Pomelo,304151
burst_1,rotbasal,Pomelo,304156
burst_1,rotbasal,Pomelo,304158
burst_1,rotbasal,Pomelo,320518
burst_1,rotbasal,Pomelo,320527
burst_1,rotbasal,Pomelo,320530
burst_1,rotbasal,Pomelo,320533
burst_1,rotbasal,Pomelo,320534
burst_1,rotbasal,Ratel,62329
burst_1,rotbasal,Ratel,62331
burst_1,rotbasal,Ratel,62333
burst_1,rotbasal,Ratel,62405
burst_1,rotbasal,Ratel,62406
burst_1,rotbasal,Ratel,69063
burst_1,rotbasal,Ratel,69064
burst_1,rotbasal,Ratel,69121
burst_1,rotbasal,Ratel,69123
burst_1,rotbasal,Ratel,73091
burst_1,rotbasal,Ratel,89461
burst_1,rotbasal,Ratel,173912
burst_1,rotbasal,Ratel,173913
burst_1,rotbasal,Ratel,173914
burst_1,rotbasal,Ratel,211957
burst_1,rotbasal,Ratel,302323
burst_1,rotbasal,Ratel,302331
burst_1,rotbasal,Ratel,302337
burst_1,rotbasal,Seychelles,70927
burst_1,rotbasal,Seychelles,70928
burst_1,rotbasal,Seychelles,70930
burst_1,rotbasal,Seychelles,70933
burst_1,rotbasal,Seychelles,70935
burst_1,rotbasal,Seychelles,158413
burst_1,rotbasal,Seychelles,158414
burst_1,rotbasal,Seychelles,215701
burst_1,rotbasal,Seychelles,215702
burst_1,rotbasal,Seychelles,224279
burst_1,rotbasal,Seychelles,224280
burst_1,rotbasal,Seychelles,224282
burst_1,rotbasal,Seychelles,224283
burst_1,rotbasal,Seychelles,224285
burst_1,rotbasal,Seychelles,224286
burst_1,rotbasal,Seychelles,224287
burst_1,rotbasal,Seychelles,224288
burst_1,rotbasal,Seychelles,224301
burst_1,rotbasal,Seychelles,224304
burst_1,rotbasal,Seychelles,224305
burst_1,rotbasal,Seychelles,224309
burst_1,rotbasal,Seychelles,299310
burst_1,rotbasal,Seychelles,299314
burst_1,rotbasal,Seychelles,299323
burst_1,rotbasal,Seychelles,299328
burst_1,rotbasal,Seychelles,316505
burst_1,rotbasal,Seychelles,316506
burst_1,rotbasal,Seychelles,316507
burst_1,rotbasal,Shongololo,109010
burst_1,rotbasal,Shongololo,328973
burst_1,rotbasal,Shongololo,328978
burst_1,rotbasal,Shongololo,328980
burst_1,rotbasal,Shongololo,328982
burst_1,rotbasal,Shongololo,330643
burst_1,rotbasal,Shongololo,330655
burst_1,rotbasal,Shongololo,330657
burst_1,rotbasal,Shongololo,339541
burst_1,rotbasal,Shongololo,339543
burst_1,rotbasal,Shongololo,339551
burst_1,rotbasal,Shongololo,339552
burst_1,rotbasal,Umbrella,311997
burst_1,rotbasal,Umbrella,311998
burst_1,rotbasal,Umbrella,312002
burst_1,rotbasal,Umbrella,312003
burst_1,rotbasal,Umbrella,312006
burst_1,rotbasal,Vry,295018
burst_1,rotbasal,Vry,295019
burst_1,rotbasal,Vry,299017
burst_1,rotbasal,Vry,315333
burst_1,rotbasal,Vulkaan,79386
burst_1,rotbasal,Vulkaan,79387
burst_1,rotbasal,Vulkaan,310437
burst_1,rotbasal,Vulkaan,310440
burst_1,rotbasal,Vulkaan,310443
burst_1,rotbasal,Vulkaan,310445
burst_1,rotbasal,Vulkaan,310449
burst_1,rotbasal,Vulkaan,327753
burst_1,rotbasal,Vulkaan,337298
burst_1,rotbasal,Vulkaan,337300
burst_1,rotbasal,Vulkaan,337301
burst_1,rotbasal,Vulkaan,337302
burst_1,rotbasal,Vulkaan,337304
burst_1,rotbasal,Vulkaan,337305
burst_1,rotbasal,Vulkaan,337307
burst_1,rotbasal,Vulkaan,337311
burst_1,rotbasal,Vulkaan,342234
burst_1,rotbasal,Vulkaan,342240
burst_1,rotbasal,Vulkaan,342241
burst_1,rotbasal,Vulkaan,342244
burst_1,rotbasal,Vulkaan,342248
burst_1,rotbasal,Vulkaan,342251
burst_1,rotbasal,Vulkaan,342252
burst_1,rotbasal,Vulkaan,345143
burst_1,rotbasal,Vulkaan,345144
burst_1,rotbasal,Vulkaan,345145
burst_1,rotbasal,Vulkaan,345150
burst_1,rotbasal,Vulkaan,345154
burst_1,rotbasal,Vulkaan,345156
burst_1,rotbasal,Vulkaan,345157
burst_1,rotbasal,Vulkaan,357401
burst_1,rotbasal,Vulkaan,357402
burst_1,rotbasal,Vulkaan,357403
burst_1,rotbasal,Vulkaan,357404
burst_1,rotbasal,Vulkaan,357415
burst_1,rotbasal,Vulkaan,357416
burst_1,rotbasal,Vulkaan,357417
burst_1,rotbasal,Vulkaan,358464
burst_1,rotbasal,Vulkaan,358465
burst_1,rotbasal,Vulkaan,358466
burst_1,rotbasal,Vulkaan,358467
burst_1,rotbasal,Vulkaan,358473
burst_1,rotbasal,Vulkaan,358477
burst_1,rotbasal,Vulkaan,358479
burst_1,rotbasal,Vulkaan,358480
burst_1,rotbasal,Vulkaan,358481
burst_1,rotbasal,Xian,74019
burst_1,rotbasal,Xian,74022
burst_1,rotbasal,Xian,74044
burst_1,rotbasal,Xian,74045
burst_1,rotbasal,Xian,74046
burst_1,rotbasal,Xian,136209
burst_1,rotbasal,Xian,136210
burst_1,rotbasal,Xian,136211
burst_1,rotbasal,Xian,141071
burst_1,rotbasal,Xian,141079
burst_1,rotbasal,Xian,321167
burst_1,rotbasal,Xian,321178
burst_1,rotbasal,Xian,321183
burst_1,rotbasal,Xian,327896
burst_1,rotbasal,Xian,327902
burst_1,rotbasal,Xian,327905
burst_1,rotbasal,Xiashan,301065
burst_1,rotbasal,Xiashan,310589
burst_1,rotbasal,Xinji,156095
burst_1,rotbasal,Xinji,336632
burst_1,rotbasal,Yamuna,73516
burst_1,rotbasal,Yamuna,73517
burst_1,rotbasal,Yamuna,73610
burst_1,rotbasal,Yamuna,75558
burst_1,rotbasal,Yamuna,89877
burst_1,rotbasal,Yamuna,91983
burst_1,rotbasal,Yamuna,91984
burst_1,rotbasal,Yamuna,91985
burst_1,rotbasal,Yamuna,96601
burst_1,rotbasal,Yamuna,96602
burst_1,rotbasal,Yamuna,96683
burst_1,rotbasal,Yamuna,129092
burst_1,rotbasal,Yamuna,129093
burst_1,rotbasal,Yamuna,129094
burst_1,rotbasal,Yamuna,129095
burst_1,rotbasal,Zeus,72361
burst_1,rotbasal,Zeus,72368
burst_1,rotbasal,Zeus,106037
burst_1,rotbasal,Zeus,106040
burst_1,rotdaily,Aarhus,70722
burst_1,rotdaily,Aarhus,70725
burst_1,rotdaily,Aarhus,70728
burst_1,rotdaily,Aarhus,70789
burst_1,rotdaily,Aarhus,79395
burst_1,rotdaily,Aarhus,79434
burst_1,rotdaily,Aarhus,79488
burst_1,rotdaily,Aarhus,80384
burst_1,rotdaily,Aarhus,100600
burst_1,rotdaily,Aarhus,158299
burst_1,rotdaily,Aarhus,158300
burst_1,rotdaily,Aarhus,158301
burst_1,rotdaily,Furry Glen,96708
burst_1,rotdaily,Furry Glen,301750
burst_1,rotdaily,Furry Glen,377537
burst_1,rotdaily,Kommunis,214587
burst_1,rotdaily,Kommunis,306765
burst_1,rotdaily,Kommunis,306766
burst_1,rotdaily,Kommunis,306769
burst_1,rotdaily,Mieles,289540
burst_1,rotdaily,Mieles,289545
burst_1,rotdaily,Mieles,329826
burst_1,rotdaily,Mieles,329827
burst_1,rotdaily,Mieles,329828
burst_1,rotdaily,Nakhu,87373
burst_1,rotdaily,Nakhu,209074
burst_1,rotdaily,Nakhu,209075
burst_1,rotdaily,Nakhu,307030
burst_1,rotdaily,Nakhu,307033
burst_1,rotdaily,Nakhu,309702
burst_1,rotdaily,Nakhu,309705
burst_1,rotdaily,Nakhu,309707
burst_1,rotdaily,Nakhu,309713
burst_1,rotdaily,Nakhu,309720
burst_1,rotdaily,Nakhu,309724
