"focalID","year_month","sampled_day"
"Aar",2022-07-01,2022-07-03
"Aar",2022-07-01,2022-07-10
"Aar",2022-07-01,2022-07-14
"Aar",2022-07-01,2022-07-15
"Aar",2022-07-01,2022-07-18
"Aar",2022-07-01,2022-07-19
"Aar",2022-07-01,2022-07-31
"Aar",2022-09-01,2022-09-03
"Aar",2022-09-01,2022-09-08
"Aar",2022-09-01,2022-09-09
"Aar",2022-09-01,2022-09-19
"Aar",2022-09-01,2022-09-25
"Aar",2022-09-01,2022-09-27
"Aar",2022-09-01,2022-09-28
"Aar",2023-06-01,2023-06-05
"Aar",2023-06-01,2023-06-11
"Aar",2023-06-01,2023-06-14
"Aar",2023-06-01,2023-06-20
"Aar",2023-06-01,2023-06-22
"Aar",2023-06-01,2023-06-28
"Aar",2023-06-01,2023-06-30
"Ass",2022-07-01,2022-07-03
"Ass",2022-07-01,2022-07-10
"Ass",2022-07-01,2022-07-14
"Ass",2022-07-01,2022-07-15
"Ass",2022-07-01,2022-07-18
"Ass",2022-07-01,2022-07-19
"Ass",2022-07-01,2022-07-31
"Deli",2022-07-01,2022-07-03
"Deli",2022-07-01,2022-07-10
"Deli",2022-07-01,2022-07-14
"Deli",2022-07-01,2022-07-15
"Deli",2022-07-01,2022-07-18
"Deli",2022-07-01,2022-07-19
"Deli",2022-07-01,2022-07-31
"Deli",2022-09-01,2022-09-03
"Deli",2022-09-01,2022-09-08
"Deli",2022-09-01,2022-09-09
"Deli",2022-09-01,2022-09-19
"Deli",2022-09-01,2022-09-25
"Deli",2022-09-01,2022-09-27
"Deli",2022-09-01,2022-09-28
"Fle",2022-07-01,2022-07-03
"Fle",2022-07-01,2022-07-10
"Fle",2022-07-01,2022-07-14
"Fle",2022-07-01,2022-07-15
"Fle",2022-07-01,2022-07-18
"Fle",2022-07-01,2022-07-19
"Fle",2022-07-01,2022-07-31
"Fle",2022-09-01,2022-09-03
"Fle",2022-09-01,2022-09-08
"Fle",2022-09-01,2022-09-09
"Fle",2022-09-01,2022-09-19
"Fle",2022-09-01,2022-09-25
"Fle",2022-09-01,2022-09-27
"Fle",2022-09-01,2022-09-28
"Flu",2022-07-01,2022-07-03
"Flu",2022-07-01,2022-07-10
"Flu",2022-07-01,2022-07-14
"Flu",2022-07-01,2022-07-15
"Flu",2022-07-01,2022-07-18
"Flu",2022-07-01,2022-07-19
"Flu",2022-07-01,2022-07-31
"Flu",2022-09-01,2022-09-03
"Flu",2022-09-01,2022-09-08
"Flu",2022-09-01,2022-09-09
"Flu",2022-09-01,2022-09-19
"Flu",2022-09-01,2022-09-25
"Flu",2022-09-01,2022-09-27
"Flu",2022-09-01,2022-09-28
"Fur",2022-07-01,2022-07-03
"Fur",2022-07-01,2022-07-10
"Fur",2022-07-01,2022-07-14
"Fur",2022-07-01,2022-07-15
"Fur",2022-07-01,2022-07-18
"Fur",2022-07-01,2022-07-19
"Fur",2022-07-01,2022-07-31
"Fur",2022-09-01,2022-09-03
"Fur",2022-09-01,2022-09-08
"Fur",2022-09-01,2022-09-09
"Fur",2022-09-01,2022-09-19
"Fur",2022-09-01,2022-09-25
"Fur",2022-09-01,2022-09-27
"Fur",2022-09-01,2022-09-28
"Fur",2023-06-01,2023-06-05
"Fur",2023-06-01,2023-06-11
"Fur",2023-06-01,2023-06-14
"Fur",2023-06-01,2023-06-20
"Fur",2023-06-01,2023-06-22
"Fur",2023-06-01,2023-06-28
"Fur",2023-06-01,2023-06-30
"Hee",2022-07-01,2022-07-03
"Hee",2022-07-01,2022-07-10
"Hee",2022-07-01,2022-07-14
"Hee",2022-07-01,2022-07-15
"Hee",2022-07-01,2022-07-18
"Hee",2022-07-01,2022-07-19
"Hee",2022-07-01,2022-07-31
"Hee",2022-09-01,2022-09-03
"Hee",2022-09-01,2022-09-08
"Hee",2022-09-01,2022-09-09
"Hee",2022-09-01,2022-09-19
"Hee",2022-09-01,2022-09-25
"Hee",2022-09-01,2022-09-27
"Hee",2022-09-01,2022-09-28
"Kom",2022-07-01,2022-07-03
"Kom",2022-07-01,2022-07-10
"Kom",2022-07-01,2022-07-14
"Kom",2022-07-01,2022-07-15
"Kom",2022-07-01,2022-07-18
"Kom",2022-07-01,2022-07-19
"Kom",2022-07-01,2022-07-31
"Kom",2022-09-01,2022-09-03
"Kom",2022-09-01,2022-09-08
"Kom",2022-09-01,2022-09-09
"Kom",2022-09-01,2022-09-19
"Kom",2022-09-01,2022-09-25
"Kom",2022-09-01,2022-09-27
"Kom",2022-09-01,2022-09-28
"Kom",2023-06-01,2023-06-05
"Kom",2023-06-01,2023-06-11
"Kom",2023-06-01,2023-06-14
"Kom",2023-06-01,2023-06-20
"Kom",2023-06-01,2023-06-22
"Kom",2023-06-01,2023-06-28
"Kom",2023-06-01,2023-06-30
"Lif",2022-07-01,2022-07-03
"Lif",2022-07-01,2022-07-10
"Lif",2022-07-01,2022-07-14
"Lif",2022-07-01,2022-07-15
"Lif",2022-07-01,2022-07-18
"Lif",2022-07-01,2022-07-19
"Lif",2022-07-01,2022-07-31
"Miel",2022-09-01,2022-09-03
"Miel",2022-09-01,2022-09-08
"Miel",2022-09-01,2022-09-09
"Miel",2022-09-01,2022-09-19
"Miel",2022-09-01,2022-09-25
"Miel",2022-09-01,2022-09-27
"Miel",2022-09-01,2022-09-28
"Miel",2023-06-01,2023-06-05
"Miel",2023-06-01,2023-06-11
"Miel",2023-06-01,2023-06-14
"Miel",2023-06-01,2023-06-20
"Miel",2023-06-01,2023-06-22
"Miel",2023-06-01,2023-06-28
"Miel",2023-06-01,2023-06-30
"Nak",2022-07-01,2022-07-03
"Nak",2022-07-01,2022-07-10
"Nak",2022-07-01,2022-07-14
"Nak",2022-07-01,2022-07-15
"Nak",2022-07-01,2022-07-18
"Nak",2022-07-01,2022-07-19
"Nak",2022-07-01,2022-07-31
"Nak",2022-09-01,2022-09-03
"Nak",2022-09-01,2022-09-08
"Nak",2022-09-01,2022-09-09
"Nak",2022-09-01,2022-09-19
"Nak",2022-09-01,2022-09-25
"Nak",2022-09-01,2022-09-27
"Nak",2022-09-01,2022-09-28
"Nak",2023-06-01,2023-06-05
"Nak",2023-06-01,2023-06-11
"Nak",2023-06-01,2023-06-14
"Nak",2023-06-01,2023-06-20
"Nak",2023-06-01,2023-06-22
"Nak",2023-06-01,2023-06-28
"Nak",2023-06-01,2023-06-30
"Ndaw",2022-07-01,2022-07-03
"Ndaw",2022-07-01,2022-07-10
"Ndaw",2022-07-01,2022-07-14
"Ndaw",2022-07-01,2022-07-15
"Ndaw",2022-07-01,2022-07-18
"Ndaw",2022-07-01,2022-07-19
"Ndaw",2022-07-01,2022-07-31
"Ndaw",2022-09-01,2022-09-03
"Ndaw",2022-09-01,2022-09-08
"Ndaw",2022-09-01,2022-09-09
"Ndaw",2022-09-01,2022-09-19
"Ndaw",2022-09-01,2022-09-25
"Ndaw",2022-09-01,2022-09-27
"Ndaw",2022-09-01,2022-09-28
"Ndaw",2023-06-01,2023-06-05
"Ndaw",2023-06-01,2023-06-11
"Ndaw",2023-06-01,2023-06-14
"Ndaw",2023-06-01,2023-06-20
"Ndaw",2023-06-01,2023-06-22
"Ndaw",2023-06-01,2023-06-28
"Ndaw",2023-06-01,2023-06-30
"Niha",2023-06-01,2023-06-05
"Niha",2023-06-01,2023-06-11
"Niha",2023-06-01,2023-06-14
"Niha",2023-06-01,2023-06-20
"Niha",2023-06-01,2023-06-22
"Niha",2023-06-01,2023-06-28
"Niha",2023-06-01,2023-06-30
"Oke",2022-07-01,2022-07-03
"Oke",2022-07-01,2022-07-10
"Oke",2022-07-01,2022-07-14
"Oke",2022-07-01,2022-07-15
"Oke",2022-07-01,2022-07-18
"Oke",2022-07-01,2022-07-19
"Oke",2022-07-01,2022-07-31
"Oke",2022-09-01,2022-09-03
"Oke",2022-09-01,2022-09-08
"Oke",2022-09-01,2022-09-09
"Oke",2022-09-01,2022-09-19
"Oke",2022-09-01,2022-09-25
"Oke",2022-09-01,2022-09-27
"Oke",2022-09-01,2022-09-28
"Oke",2023-06-01,2023-06-05
"Oke",2023-06-01,2023-06-11
"Oke",2023-06-01,2023-06-14
"Oke",2023-06-01,2023-06-20
"Oke",2023-06-01,2023-06-22
"Oke",2023-06-01,2023-06-28
"Oke",2023-06-01,2023-06-30
