"behaviour","metric","model","burst","correction_type"
"Resting","precision","HydraRocket","2","Unc"
"Eating","precision","HydraRocket","1","Unc"
"Walking","precision","TabPFN","3","Unc"
"Grooming actor","precision","HydraRocket","1","Unc"
"Grooming receiver","precision","TabPFN","4","Basal"
"Sleeping","precision","TabPFN","4","Basal"
"Self-scratching","precision","RF","4","Unc"
"Running","precision","RF","4","Unc"
"Resting","recall","TabPFN","1","Unc"
"Eating","recall","TabPFN","1","Unc"
"Walking","recall","RF","3","Unc"
"Grooming actor","recall","HydraRocket","1","Unc"
"Grooming receiver","recall","HydraRocket","2","Daily"
"Sleeping","recall","TabPFN","4","Basal"
"Self-scratching","recall","HydraRocket","2","Unc"
"Running","recall","TabPFN","2","Unc"
