"burst","correction_type","target","random_seed","model","actual_label","data","model_type","actual_count","recall","precision","actual_prop","beh_rarity"
"Burst_1","rotbasal","Behaviour",42,"RF","Eating","features","ml",83,0.8,0.67,0.32,"common"
"Burst_1","rotbasal","Behaviour",42,"RF","Grooming actor","features","ml",24,0.08,0.5,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",42,"RF","Grooming receiver","features","ml",18,0.39,0.5,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",42,"RF","Resting","features","ml",98,0.82,0.71,0.37,"common"
"Burst_1","rotbasal","Behaviour",42,"RF","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",42,"RF","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",42,"RF","Sleeping","features","ml",6,0.33,1,0.02,"rare"
"Burst_1","rotbasal","Behaviour",42,"RF","Walking","features","ml",31,0.71,0.73,0.12,"uncommon"
"Burst_1","rotbasal","Behaviour",42,"XGB","Eating","features","ml",83,0.71,0.69,0.32,"common"
"Burst_1","rotbasal","Behaviour",42,"XGB","Grooming actor","features","ml",24,0.33,0.67,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",42,"XGB","Grooming receiver","features","ml",18,0.22,0.36,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",42,"XGB","Resting","features","ml",98,0.83,0.7,0.37,"common"
"Burst_1","rotbasal","Behaviour",42,"XGB","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",42,"XGB","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",42,"XGB","Sleeping","features","ml",6,0.33,0.5,0.02,"rare"
"Burst_1","rotbasal","Behaviour",42,"XGB","Walking","features","ml",31,0.74,0.68,0.12,"uncommon"
"Burst_1","rotbasal","Behaviour",42,"SVC","Eating","features","ml",83,0,0,0.32,"common"
"Burst_1","rotbasal","Behaviour",42,"SVC","Grooming actor","features","ml",24,0,0,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",42,"SVC","Grooming receiver","features","ml",18,0,0,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",42,"SVC","Resting","features","ml",98,0.99,0.37,0.37,"common"
"Burst_1","rotbasal","Behaviour",42,"SVC","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",42,"SVC","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",42,"SVC","Sleeping","features","ml",6,0,0,0.02,"rare"
"Burst_1","rotbasal","Behaviour",42,"SVC","Walking","features","ml",31,0,0,0.12,"uncommon"
"Burst_1","rotbasal","Behaviour",100,"RF","Eating","features","ml",84,0.85,0.65,0.32,"common"
"Burst_1","rotbasal","Behaviour",100,"RF","Grooming actor","features","ml",24,0.21,0.5,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",100,"RF","Grooming receiver","features","ml",18,0.5,0.75,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",100,"RF","Resting","features","ml",98,0.76,0.72,0.37,"common"
"Burst_1","rotbasal","Behaviour",100,"RF","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",100,"RF","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",100,"RF","Sleeping","features","ml",6,0.33,0.67,0.02,"rare"
"Burst_1","rotbasal","Behaviour",100,"RF","Walking","features","ml",30,0.7,0.84,0.11,"uncommon"
"Burst_1","rotbasal","Behaviour",100,"XGB","Eating","features","ml",84,0.75,0.62,0.32,"common"
"Burst_1","rotbasal","Behaviour",100,"XGB","Grooming actor","features","ml",24,0.38,0.64,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",100,"XGB","Grooming receiver","features","ml",18,0.44,0.67,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",100,"XGB","Resting","features","ml",98,0.78,0.72,0.37,"common"
"Burst_1","rotbasal","Behaviour",100,"XGB","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",100,"XGB","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",100,"XGB","Sleeping","features","ml",6,0.33,0.4,0.02,"rare"
"Burst_1","rotbasal","Behaviour",100,"XGB","Walking","features","ml",30,0.67,0.77,0.11,"uncommon"
"Burst_1","rotbasal","Behaviour",100,"SVC","Eating","features","ml",84,0,0,0.32,"common"
"Burst_1","rotbasal","Behaviour",100,"SVC","Grooming actor","features","ml",24,0,0,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",100,"SVC","Grooming receiver","features","ml",18,0,0,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",100,"SVC","Resting","features","ml",98,0.99,0.37,0.37,"common"
"Burst_1","rotbasal","Behaviour",100,"SVC","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",100,"SVC","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",100,"SVC","Sleeping","features","ml",6,0,0,0.02,"rare"
"Burst_1","rotbasal","Behaviour",100,"SVC","Walking","features","ml",30,0,0,0.11,"uncommon"
"Burst_1","rotbasal","Behaviour",123,"RF","Eating","features","ml",83,0.75,0.68,0.32,"common"
"Burst_1","rotbasal","Behaviour",123,"RF","Grooming actor","features","ml",24,0.21,0.83,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",123,"RF","Grooming receiver","features","ml",18,0.44,0.73,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",123,"RF","Resting","features","ml",98,0.83,0.66,0.37,"common"
"Burst_1","rotbasal","Behaviour",123,"RF","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",123,"RF","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",123,"RF","Sleeping","features","ml",6,0.33,0.5,0.02,"rare"
"Burst_1","rotbasal","Behaviour",123,"RF","Walking","features","ml",31,0.68,0.81,0.12,"uncommon"
"Burst_1","rotbasal","Behaviour",123,"XGB","Eating","features","ml",83,0.72,0.71,0.32,"common"
"Burst_1","rotbasal","Behaviour",123,"XGB","Grooming actor","features","ml",24,0.33,0.67,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",123,"XGB","Grooming receiver","features","ml",18,0.5,0.64,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",123,"XGB","Resting","features","ml",98,0.84,0.69,0.37,"common"
"Burst_1","rotbasal","Behaviour",123,"XGB","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",123,"XGB","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",123,"XGB","Sleeping","features","ml",6,0.33,0.67,0.02,"rare"
"Burst_1","rotbasal","Behaviour",123,"XGB","Walking","features","ml",31,0.77,0.8,0.12,"uncommon"
"Burst_1","rotbasal","Behaviour",123,"SVC","Eating","features","ml",83,0,0,0.32,"common"
"Burst_1","rotbasal","Behaviour",123,"SVC","Grooming actor","features","ml",24,0,0,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",123,"SVC","Grooming receiver","features","ml",18,0,0,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",123,"SVC","Resting","features","ml",98,0.99,0.37,0.37,"common"
"Burst_1","rotbasal","Behaviour",123,"SVC","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",123,"SVC","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",123,"SVC","Sleeping","features","ml",6,0,0,0.02,"rare"
"Burst_1","rotbasal","Behaviour",123,"SVC","Walking","features","ml",31,0.03,0.5,0.12,"uncommon"
"Burst_1","rotbasal","Behaviour",1234,"RF","Eating","features","ml",83,0.86,0.66,0.32,"common"
"Burst_1","rotbasal","Behaviour",1234,"RF","Grooming actor","features","ml",24,0.29,0.7,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",1234,"RF","Grooming receiver","features","ml",18,0.67,0.67,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",1234,"RF","Resting","features","ml",98,0.78,0.75,0.37,"common"
"Burst_1","rotbasal","Behaviour",1234,"RF","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",1234,"RF","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",1234,"RF","Sleeping","features","ml",6,0.67,0.67,0.02,"rare"
"Burst_1","rotbasal","Behaviour",1234,"RF","Walking","features","ml",31,0.55,0.81,0.12,"uncommon"
"Burst_1","rotbasal","Behaviour",1234,"XGB","Eating","features","ml",83,0.81,0.68,0.32,"common"
"Burst_1","rotbasal","Behaviour",1234,"XGB","Grooming actor","features","ml",24,0.42,0.77,0.09,"uncommon"
"Burst_1","rotbasal","Behaviour",1234,"XGB","Grooming receiver","features","ml",18,0.72,0.59,0.07,"uncommon"
"Burst_1","rotbasal","Behaviour",1234,"XGB","Resting","features","ml",98,0.78,0.78,0.37,"common"
"Burst_1","rotbasal","Behaviour",1234,"XGB","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotbasal","Behaviour",1234,"XGB","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotbasal","Behaviour",1234,"XGB","Sleeping","features","ml",6,0.67,0.67,0.02,"rare"
