actual_label,predicted_label,count
Eating,Eating,55
Eating,Grooming actor,2
Eating,Grooming receiver,0
Eating,Resting,8
Eating,Running,0
Eating,Self-scratching,0
Eating,Sleeping,0
Eating,Walking,2
Grooming actor,Eating,5
Grooming actor,Grooming actor,10
Grooming actor,Grooming receiver,0
Grooming actor,Resting,3
Grooming actor,Running,1
Grooming actor,Self-scratching,0
Grooming actor,Sleeping,0
Grooming actor,Walking,0
Grooming receiver,Eating,0
Grooming receiver,Grooming actor,1
Grooming receiver,Grooming receiver,3
Grooming receiver,Resting,10
Grooming receiver,Running,0
Grooming receiver,Self-scratching,0
Grooming receiver,Sleeping,0
Grooming receiver,Walking,0
Resting,Eating,11
Resting,Grooming actor,3
Resting,Grooming receiver,1
Resting,Resting,62
Resting,Running,0
Resting,Self-scratching,0
Resting,Sleeping,0
Resting,Walking,1
Running,Eating,0
Running,Grooming actor,0
Running,Grooming receiver,0
Running,Resting,0
Running,Running,0
Running,Self-scratching,0
Running,Sleeping,0
Running,Walking,1
Self-scratching,Eating,1
Self-scratching,Grooming actor,0
Self-scratching,Grooming receiver,0
Self-scratching,Resting,1
Self-scratching,Running,0
Self-scratching,Self-scratching,0
Self-scratching,Sleeping,0
Self-scratching,Walking,0
Sleeping,Eating,0
Sleeping,Grooming actor,0
Sleeping,Grooming receiver,2
Sleeping,Resting,0
Sleeping,Running,0
Sleeping,Self-scratching,0
Sleeping,Sleeping,3
Sleeping,Walking,0
Walking,Eating,8
Walking,Grooming actor,0
Walking,Grooming receiver,0
Walking,Resting,0
Walking,Running,2
Walking,Self-scratching,0
Walking,Sleeping,0
Walking,Walking,14
